x,y
0.000000,0.000000
0.118867,0.028890
0.237248,0.057662
0.355142,0.086316
0.472552,0.114852
0.589475,0.143270
0.705912,0.171569
0.821864,0.199751
0.937329,0.227814
1.052309,0.255760
1.166803,0.283587
1.280811,0.311296
1.394334,0.338887
1.507370,0.366360
1.619921,0.393715
1.731985,0.420952
1.843564,0.448071
1.954657,0.475072
2.065264,0.501955
2.175386,0.528719
2.285021,0.555366
2.394171,0.581894
2.502834,0.608304
2.611012,0.634596
2.718704,0.660771
2.825910,0.686827
2.932631,0.712765
3.038865,0.738584
3.144614,0.764286
3.249876,0.789870
3.354653,0.815335
3.458944,0.840683
3.562749,0.865912
3.666069,0.891024
3.768902,0.916017
3.871250,0.940892
3.973111,0.965649
4.074487,0.990288
4.175377,1.014809
4.275781,1.039212
4.375700,1.063497
4.475132,1.087664
4.574079,1.111712
4.672540,1.135643
4.770514,1.159455
4.868003,1.183149
4.965007,1.206726
5.061524,1.230184
5.157555,1.253524
5.253101,1.276746
5.348161,1.299850
5.442735,1.322836
5.536823,1.345703
5.630425,1.368453
5.723541,1.391085
5.816172,1.413598
5.908316,1.435993
5.999975,1.458271
6.091148,1.480430
6.181835,1.502471
6.272036,1.524394
6.361752,1.546199
6.450981,1.567886
6.539725,1.589455
6.627982,1.610905
6.715754,1.632238
6.803040,1.653453
6.889841,1.674549
6.976155,1.695527
7.061983,1.716388
7.147326,1.737130
7.232183,1.757754
7.316554,1.778260
7.400439,1.798648
7.483838,1.818918
7.566751,1.839070
7.649179,1.859103
7.731120,1.879019
7.812576,1.898816
7.893546,1.918496
7.974030,1.938057
8.054028,1.957500
8.133541,1.976826
8.212567,1.996033
8.291108,2.015122
8.369163,2.034093
8.446732,2.052945
8.523815,2.071680
8.600412,2.090297
8.676523,2.108795
8.752149,2.127176
8.827289,2.145438
8.901942,2.163583
8.976110,2.181609
9.049792,2.199517
9.122989,2.217307
9.195699,2.234979
9.267924,2.252533
9.339662,2.269969
9.410915,2.287286
9.481682,2.304486
9.551963,2.321568
9.621758,2.338531
9.691068,2.355377
9.759891,2.372104
9.828229,2.388713
9.896081,2.405204
9.963447,2.421577
10.030327,2.437832
10.096721,2.453969
10.162630,2.469988
10.228052,2.485888
10.292989,2.501671
10.357440,2.517336
10.421405,2.532882
10.484884,2.548310
10.547877,2.563621
10.610384,2.578813
10.672406,2.593887
10.733942,2.608843
10.794991,2.623681
10.855555,2.638401
10.915634,2.653003
10.975226,2.667486
11.034332,2.681852
11.092953,2.696099
11.151088,2.710229
11.208736,2.724240
11.265899,2.738133
11.322577,2.751908
11.378768,2.765565
11.434473,2.779104
11.489693,2.792525
11.544427,2.805828
11.598674,2.819013
11.652436,2.832080
11.705713,2.845028
11.758503,2.857859
11.810807,2.870571
11.862626,2.883165
11.913959,2.895642
11.964806,2.908000
12.015167,2.920240
12.065042,2.932362
12.114431,2.944366
12.163334,2.956251
12.211752,2.968019
12.259684,2.979669
12.307130,2.991200
12.354090,3.002614
12.400564,3.013909
12.446552,3.025086
12.492055,3.036146
12.537071,3.047087
12.581602,3.057910
12.625647,3.068615
12.669206,3.079201
12.712279,3.089670
12.754866,3.100021
12.796968,3.110254
12.838583,3.120368
12.879713,3.130364
12.920357,3.140243
12.960515,3.150003
13.000187,3.159645
13.039374,3.169169
13.078074,3.178575
13.116289,3.187863
13.154018,3.197033
13.191260,3.206085
13.228018,3.215018
13.264289,3.223834
13.300074,3.232532
13.335374,3.241111
13.370187,3.249572
13.404515,3.257915
13.438357,3.266141
13.471713,3.274248
13.504583,3.282237
13.536968,3.290108
13.568866,3.297860
13.600279,3.305495
13.631205,3.313012
13.661646,3.320410
13.691601,3.327691
13.721071,3.334853
13.750054,3.341897
13.778552,3.348824
13.806563,3.355632
13.834089,3.362322
13.861129,3.368894
13.887683,3.375348
13.913751,3.381683
13.939334,3.387901
13.964430,3.394001
13.989041,3.399982
14.013166,3.405846
14.036804,3.411591
14.059958,3.417218
14.082625,3.422727
14.104806,3.428119
14.126502,3.433392
14.147711,3.438546
14.168435,3.443583
14.188673,3.448502
14.208425,3.453303
14.227692,3.457985
14.246472,3.462550
14.264766,3.466996
14.282575,3.471325
14.299898,3.475535
14.316735,3.479627
14.333086,3.483601
14.348951,3.487457
14.364331,3.491195
14.379224,3.494815
14.393632,3.498317
14.407554,3.501700
14.420990,3.504966
14.433940,3.508113
14.446404,3.511143
14.458382,3.514054
14.469875,3.516847
14.480882,3.519522
14.491403,3.522079
14.501438,3.524518
14.510987,3.526839
14.520050,3.529042
14.528627,3.531127
14.536719,3.533093
14.544325,3.534942
14.551445,3.536672
14.558079,3.538285
14.564227,3.539779
14.569889,3.541155
14.575065,3.542413
14.579756,3.543553
14.583961,3.544575
14.587680,3.545479
14.590913,3.546265
14.593660,3.546933
14.595921,3.547482
14.597696,3.547914
14.598986,3.548227
14.599790,3.548422
14.600108,3.548500
