TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=-0.030324261635541916, y=38.2651481628418, dist=0.237
End 1: team=team1, x=0.058957070112228394, y=38.4735221862793, dist=0.065
End 2: team=team1, x=-0.0113358274102211, y=38.326316833496094, dist=0.174
End 3: team=team1, x=0.05063951015472412, y=38.6095085144043, dist=0.121
End 4: team=team1, x=0.04798878729343414, y=38.32506561279297, dist=0.181
End 5: team=team0, x=-0.21167567372322083, y=38.60457992553711, dist=0.236
End 6: team=team1, x=-0.10927090048789978, y=38.6567497253418, dist=0.191
End 7: team=team0, x=0.07892102748155594, y=38.424713134765625, dist=0.109
End 8: team=team1, x=0.40105098485946655, y=38.24212646484375, dist=0.477
End 9: team=team0, x=0.058449577540159225, y=38.55835723876953, dist=0.083
