TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=-0.035451408475637436, y=38.61172866821289, dist=0.117
End 1: team=team1, x=-0.3111163079738617, y=38.31452560424805, dist=0.362
End 2: team=team0, x=-0.24513916671276093, y=38.14080047607422, dist=0.435
End 3: team=team1, x=-0.0825265422463417, y=38.540321350097656, dist=0.092
End 4: team=team0, x=-0.018257832154631615, y=38.457332611083984, dist=0.046
End 5: team=team1, x=0.056259896606206894, y=38.47235107421875, dist=0.063
End 6: team=team1, x=0.09972894936800003, y=38.7077522277832, dist=0.23
End 7: team=team1, x=0.041506942361593246, y=38.56821060180664, dist=0.08
End 8: team=team0, x=-0.09700845927000046, y=38.59687423706055, dist=0.137
End 9: team=team1, x=0.20241960883140564, y=38.55146026611328, dist=0.209
