end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
0,1,0,team0,1,0,2.3963558786033445,-15.707963267948966,1.5113750347208998
0,2,1,team1,1,1,2.3973495777960325,-1.570796327,1.5166275421738071
0,3,1,team0,2,1,2.3998621804608,-15.707963267948966,1.5108177117033037
0,4,2,team1,2,2,2.394083955214542,-1.570796327,1.5174082633551258
0,5,2,team0,1,2,3.988999934013453,0.5,1.5756947806271238
0,6,3,team1,1,3,2.407457515888983,-1.570796327,1.5152291604172956
0,7,3,team0,1,2,3.9967278685137324,0.5,1.5747985628028762
0,8,4,team1,1,3,2.3977764176071554,-1.570796327,1.517069310456044
0,9,4,team0,1,3,3.9945758924941477,0.5,1.5714657864717858
0,10,5,team1,1,4,2.39531764820659,-1.570796327,1.5171624219547313
0,11,5,team0,1,4,4.010007304264538,0.5,1.5715173077966744
0,12,6,team1,1,5,2.396153582994489,-1.570796327,1.5145427576556147
0,13,6,team0,1,5,3.988592448685179,0.5,1.5726572823777822
0,14,7,team1,1,6,2.3981151372320753,-1.570796327,1.5134881366145088
0,15,7,team0,1,6,3.999218395939526,0.5,1.5689873735759765
0,16,8,team1,1,7,2.39110615797807,-1.570796327,1.5179171878781106
1,1,0,team0,1,0,2.3959023554106214,-15.707963267948966,1.5148940249440312
1,2,1,team1,1,1,2.3964324494987825,-1.570796327,1.5166479087079985
1,3,1,team0,2,1,2.3981840605498426,-15.707963267948966,1.5170926970673229
1,4,2,team1,2,2,2.4140599085637806,-1.570796327,1.5218918980126244
1,5,2,team0,1,2,4.012539863908149,0.5,1.5752663926236212
1,6,3,team1,1,3,2.396242507498694,-1.570796327,1.517661321767238
1,7,3,team0,1,2,3.9978093646892114,0.5,1.5738692810814399
1,8,4,team1,1,3,2.3917338589152974,-1.570796327,1.5141336119221145
1,9,4,team0,1,1,4.00177908622209,0.5,1.5759687688430344
1,10,5,team1,1,2,2.396837437701188,-1.570796327,1.5203279903101512
1,11,5,team0,1,2,3.9777335603074646,0.5,1.573596832012586
1,12,6,team1,1,3,2.3956407039470946,-1.570796327,1.5177340838076023
1,13,6,team0,1,3,4.008509274683049,0.5,1.5771924047604502
1,14,7,team1,1,4,2.3855043016645974,-1.570796327,1.5136806595830878
1,15,7,team0,1,2,3.992462991983173,0.5,1.5794669260575076
1,16,8,team1,1,3,2.405246619290108,-1.570796327,1.5151517270146617
2,1,0,team0,1,0,2.397717264706725,-15.707963267948966,1.5126862824124832
