end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
0,1,0,team0,1,0,2.4057669381718267,-15.707963267948966,1.5171518478389134
0,2,1,team1,1,1,2.3862486221078063,-1.570796327,1.5154279796914
0,3,1,team0,2,1,2.390690695214288,15.707963267948966,1.6264417591796663
0,4,2,team1,2,2,2.3916712548230694,-1.570796327,1.5099042543942713
0,5,2,team0,3,2,2.4029607084663374,15.707963267948966,1.6271344918835084
0,6,3,team1,3,3,2.395532376771596,-1.570796327,1.5152976156493834
0,7,3,team0,4,3,2.387436324538972,15.707963267948966,1.6289063922446265
0,8,4,team1,4,4,2.394872942708078,-1.570796327,1.5166119970429528
0,9,4,team0,5,4,2.4042604900435265,15.707963267948966,1.6251063332404216
0,10,5,team1,5,5,2.4012255821076027,-1.570796327,1.51585278282257
0,11,5,team0,6,5,2.4084711646816674,15.707963267948966,1.6286830648116493
0,12,6,team1,6,6,2.3900298011505594,-1.570796327,1.516604513104351
0,13,6,team0,7,6,2.4145327890143715,15.707963267948966,1.6320175762897098
0,14,7,team1,7,7,2.3928630793379075,-1.570796327,1.518076841207495
0,15,7,team0,8,7,2.4039337440420234,15.707963267948966,1.6303381012777622
0,16,8,team1,8,8,2.3999718344123697,-1.570796327,1.5175834007281421
1,1,0,team1,0,1,2.392196034652401,-1.570796327,1.5134686264550459
1,2,1,team0,0,1,4.005930231613949,0.0001,1.5679807040148268
1,3,1,team1,0,2,2.38926449610282,-1.570796327,1.5158086593974813
1,4,2,team0,0,2,4.0047975857248455,0.0001,1.5696926864037966
1,5,2,team1,0,3,2.3921656369337727,-1.570796327,1.5154450475695083
1,6,3,team0,0,2,3.9975500178281584,-0.0001,1.5662229039248907
1,7,3,team1,0,3,2.397182681311118,-1.570796327,1.516707083296855
1,8,4,team0,0,3,3.998890812111715,-0.0001,1.5670112938660135
1,9,4,team1,0,4,2.4029737447349,-1.570796327,1.5169788001622864
1,10,5,team0,1,1,4.006789627716675,-0.0001,1.562124264939556
1,11,5,team1,1,2,2.4003487419562504,-1.570796327,1.5136804623345608
1,12,6,team0,1,2,3.9901358863801626,0.0001,1.5841500013613015
1,13,6,team1,1,3,2.3851422329215914,-1.570796327,1.5183372691230859
1,14,7,team0,2,2,4.003106547210887,0.0001,1.5853852069593168
1,15,7,team1,2,3,2.3823922082411304,-1.570796327,1.5152385807730002
1,16,8,team0,3,1,3.9950774211617714,0.0001,1.5872913097643548
2,1,0,team0,1,0,2.3936513644054527,-15.707963267948966,1.510819492813747
2,2,1,team1,1,1,2.4002828819391553,-1.570796327,1.5144929778338088
2,3,1,team0,2,1,2.3963719737042393,-15.707963267948966,1.5117178490367975
2,4,2,team1,2,2,2.4041161983617663,-1.570796327,1.5149404911403799
2,5,2,team0,2,1,3.9996753276345514,0.0001,1.5746997389873754
2,6,3,team1,2,2,2.3936356671701726,-1.570796327,1.5178293976662602
2,7,3,team0,2,2,4.013144495448299,0.0001,1.573068235961449
2,8,4,team1,2,3,2.4074027136078677,-1.570796327,1.5160025632597123
2,9,4,team0,3,3,2.4057822730156726,-15.707963267948966,1.5168447746406892
2,10,5,team1,3,4,2.3891296079558635,-1.570796327,1.5137794480313906
2,11,5,team0,4,3,3.9974799961309624,-0.0001,1.5634193453877363
2,12,6,team1,4,4,2.406368088725409,-1.570796327,1.51740011589166
2,13,6,team0,5,4,2.4023092602919243,15.707963267948966,1.6282621043339665
2,14,7,team1,5,5,2.398268805854377,-1.570796327,1.5149918718692974
2,15,7,team0,6,5,2.411426603984906,15.707963267948966,1.6276942847481335
2,16,8,team1,6,6,2.3879338972995967,-1.570796327,1.5201348575507831
3,1,0,team1,0,1,2.403025945043826,-1.570796327,1.5136760616292353
3,2,1,team0,0,1,3.9910236193215796,0.0001,1.5699699232331086
3,3,1,team1,0,2,2.381077441578337,-1.570796327,1.5141564964311724
3,4,2,team0,0,2,4.002744063782891,0.0001,1.571127411554636
3,5,2,team1,0,3,2.4074111424409574,-1.570796327,1.518811044879736
3,6,3,team0,0,3,4.000735307757406,0.0001,1.5669620085787617
3,7,3,team1,0,4,2.388846635574017,-1.570796327,1.5147097246140446
3,8,4,team0,1,3,4.00650698482914,-0.0001,1.5634361626665088
3,9,4,team1,1,4,2.408051375595788,-1.570796327,1.514665209835812
3,10,5,team0,0,4,4.006185720064142,0.0001,1.5715304574309892
3,11,5,team1,0,5,2.3937634747019803,-1.570796327,1.5208888760652355
3,12,6,team0,0,5,3.9922123199235156,0.0001,1.5668226995366883
3,13,6,team1,0,6,2.3822298685803904,-1.570796327,1.5194270277347899
3,14,7,team0,0,5,4.017853622374909,0.0001,1.5748517337241892
3,15,7,team1,0,6,2.398781769590188,-1.570796327,1.5192637398864068
3,16,8,team0,1,4,4.0023464244064595,-0.0001,1.566663413282443
4,1,0,team0,1,0,2.4095600259017593,-15.707963267948966,1.516773018395257
4,2,1,team1,1,1,2.404814851301034,-1.570796327,1.5145832223410778
4,3,1,team0,1,1,3.9988929481971307,0.0001,1.5700181389645256
4,4,2,team1,1,2,2.395089498061582,-1.570796327,1.5202503518895734
4,5,2,team0,1,2,4.0072941376068485,0.0001,1.5717193434660126
4,6,3,team1,1,3,2.3918486194955637,-1.570796327,1.5161799772605167
4,7,3,team0,1,3,4.006107733740343,0.0001,1.5680982573483164
4,8,4,team1,1,4,2.3918517874119045,-1.570796327,1.5147481929014175
4,9,4,team0,1,3,4.007856751075858,-0.0001,1.566593925671379
4,10,5,team1,1,4,2.4067233062116173,-1.570796327,1.5141301925835784
4,11,5,team0,1,4,3.997587721616363,0.0001,1.5682538314683163
4,12,6,team1,1,5,2.400449195787098,-1.570796327,1.5150871198475377
4,13,6,team0,2,4,4.006890177376141,0.0001,1.57264903179953
4,14,7,team1,2,5,2.4054202983274866,-1.570796327,1.5168686905225028
4,15,7,team0,3,5,2.3894316624750194,-15.707963267948966,1.5075186786490884
4,16,8,team1,3,6,2.3998688085491167,-1.570796327,1.5151641664112239
