TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team0, x=-0.16818353533744812, y=38.567901611328125, dist=0.181
End 1: team=team1, x=0.13641297817230225, y=38.07324981689453, dist=0.448
End 2: team=team0, x=-0.09916273504495621, y=38.66645812988281, dist=0.194
End 3: team=team1, x=0.020100709050893784, y=38.07263946533203, dist=0.428
End 4: team=team0, x=0.521817147731781, y=38.47857666015625, dist=0.522
End 5: team=team1, x=0.09157566726207733, y=37.980186462402344, dist=0.528
End 6: team=team1, x=-0.3726940453052521, y=38.20570755004883, dist=0.475
End 7: team=team1, x=-0.48424074053764343, y=38.48759078979492, dist=0.484
End 8: team=team1, x=0.007702936418354511, y=38.27681350708008, dist=0.223
End 9: team=team1, x=0.09620830416679382, y=38.51180648803711, dist=0.097
