ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x_model,final_y_model,dc_x,dc_y,in_house,class,trajectory_file
2026-02-27T10:25:46.772,0,1,2.413278,15.707963,0.056501,3.24,38.508421,38.508421,4.308835,4.308835,38.508421,0,draw,trajectories\traj_000.csv
2026-02-27T10:25:46.883,0,3,2.422368,15.707963,0.051747,2.96,38.842700,38.842700,4.162655,4.162655,38.842700,0,hit,trajectories\traj_001.csv
2026-02-27T10:25:46.978,0,5,2.400769,15.707963,0.055714,3.19,38.081709,38.081709,4.226366,4.226366,38.081709,0,draw,trajectories\traj_002.csv
2026-02-27T10:25:47.081,0,7,2.399809,15.707963,0.055494,3.18,38.049727,38.049727,4.213994,4.213994,38.049727,0,draw,trajectories\traj_003.csv
2026-02-27T10:25:47.215,0,9,2.406111,15.707963,0.054664,3.13,38.269492,38.269492,4.208403,4.208403,38.269492,0,draw,trajectories\traj_004.csv
2026-02-27T10:25:47.308,0,11,2.399011,15.707963,0.057096,3.27,38.015596,38.015596,4.271595,4.271595,38.015596,0,draw,trajectories\traj_005.csv
2026-02-27T10:25:47.410,0,13,2.391313,15.707963,0.056749,3.25,37.753877,37.753877,4.226199,4.226199,37.753877,0,draw,trajectories\traj_006.csv
2026-02-27T10:25:47.501,0,15,2.407654,15.707963,0.054221,3.11,38.324423,38.324423,4.197802,4.197802,38.324423,0,draw,trajectories\traj_007.csv
2026-02-27T10:25:47.700,1,1,2.399989,15.707963,0.053261,3.05,38.065223,38.065223,4.129726,4.129726,38.065223,0,draw,trajectories\traj_008.csv
2026-02-27T10:25:47.800,1,3,2.403993,15.707963,0.054169,3.10,38.198803,38.198803,4.180760,4.180760,38.198803,0,draw,trajectories\traj_009.csv
2026-02-27T10:25:47.902,1,5,2.390415,15.707963,0.055704,3.19,37.727621,37.727621,4.183048,4.183048,37.727621,0,draw,trajectories\traj_010.csv
2026-02-27T10:25:48.004,1,7,2.400171,15.707963,0.057285,3.28,38.054508,38.054508,4.283633,4.283633,38.054508,0,draw,trajectories\traj_011.csv
2026-02-27T10:25:48.102,1,9,2.398629,15.707963,0.053745,3.08,38.016604,38.016604,4.142607,4.142607,38.016604,0,draw,trajectories\traj_012.csv
2026-02-27T10:25:48.197,1,11,2.412198,15.707963,0.055808,3.20,38.474156,38.474156,4.277634,4.277634,38.474156,0,draw,trajectories\traj_013.csv
2026-02-27T10:25:48.296,1,13,2.405378,15.707963,0.055393,3.17,38.241232,38.241232,4.233264,4.233264,38.241232,0,draw,trajectories\traj_014.csv
2026-02-27T10:25:48.386,1,15,2.409670,15.707963,0.054927,3.15,38.390812,38.390812,4.233247,4.233247,38.390812,0,draw,trajectories\traj_015.csv
2026-02-27T10:25:48.493,2,1,2.417861,15.707963,0.053937,3.09,38.677566,38.677566,4.229047,4.229047,38.677566,0,draw,trajectories\traj_016.csv
2026-02-27T10:25:48.592,2,3,2.395097,15.707963,0.055353,3.17,37.888997,37.888997,4.189126,4.189126,37.888997,0,draw,trajectories\traj_017.csv
2026-02-27T10:25:48.683,2,5,2.402694,15.707963,0.055149,3.16,38.150113,38.150113,4.212817,4.212817,38.150113,0,draw,trajectories\traj_018.csv
2026-02-27T10:25:48.772,2,7,2.390402,15.707963,0.056770,3.25,37.722686,37.722686,4.223206,4.223206,37.722686,0,draw,trajectories\traj_019.csv
2026-02-27T10:25:48.864,2,9,2.394986,15.707963,0.051827,2.97,37.899759,37.899759,4.055037,4.055037,37.899759,0,draw,trajectories\traj_020.csv
2026-02-27T10:25:48.956,2,11,2.396475,15.707963,0.053428,3.06,37.944145,37.944145,4.121768,4.121768,37.944145,0,draw,trajectories\traj_021.csv
2026-02-27T10:25:49.048,2,13,2.389055,15.707963,0.052798,3.03,37.693188,37.693188,4.067900,4.067900,37.693188,0,draw,trajectories\traj_022.csv
2026-02-27T10:25:49.148,2,15,2.399935,15.707963,0.054545,3.13,38.058034,38.058034,4.178402,4.178402,38.058034,0,draw,trajectories\traj_023.csv
2026-02-27T10:25:49.264,3,1,2.408827,15.707963,0.050900,2.92,38.378532,38.378532,4.075229,4.075229,38.378532,0,draw,trajectories\traj_024.csv
2026-02-27T10:25:49.361,3,3,2.398508,15.707963,0.049156,2.82,38.031053,38.031053,3.967629,3.967629,38.031053,0,draw,trajectories\traj_025.csv
2026-02-27T10:25:49.465,3,5,2.397601,15.707963,0.054193,3.11,37.979545,37.979545,4.155422,4.155422,37.979545,0,draw,trajectories\traj_026.csv
2026-02-27T10:25:49.558,3,7,2.394878,15.707963,0.053131,3.04,37.890737,37.890737,4.104013,4.104013,37.890737,0,draw,trajectories\traj_027.csv
2026-02-27T10:25:49.651,3,9,2.403777,15.707963,0.055655,3.19,38.185130,38.185130,4.236608,4.236608,38.185130,0,draw,trajectories\traj_028.csv
2026-02-27T10:25:49.744,3,11,2.421996,15.707963,0.054698,3.13,38.817370,38.817370,4.275674,4.275674,38.817370,0,hit,trajectories\traj_029.csv
2026-02-27T10:25:49.834,3,13,2.396371,15.707963,0.056502,3.24,37.927744,37.927744,4.237981,4.237981,37.927744,0,draw,trajectories\traj_030.csv
2026-02-27T10:25:49.932,3,15,2.402351,15.707963,0.056820,3.26,38.131250,38.131250,4.275109,4.275109,38.131250,0,draw,trajectories\traj_031.csv
2026-02-27T10:25:50.048,4,1,2.395261,15.707963,0.052184,2.99,37.907686,37.907686,4.069679,4.069679,37.907686,0,draw,trajectories\traj_032.csv
2026-02-27T10:25:50.141,4,3,2.420256,15.707963,0.055444,3.18,38.753949,38.753949,4.297335,4.297335,38.753949,0,hit,trajectories\traj_033.csv
2026-02-27T10:25:50.231,4,5,2.408769,15.707963,0.052333,3.00,38.370660,38.370660,4.129971,4.129971,38.370660,0,draw,trajectories\traj_034.csv
2026-02-27T10:25:50.324,4,7,2.400440,15.707963,0.056572,3.24,38.066772,38.066772,4.257642,4.257642,38.066772,0,draw,trajectories\traj_035.csv
2026-02-27T10:25:50.471,4,9,2.410121,15.707963,0.055953,3.21,38.401980,38.401980,4.274505,4.274505,38.401980,0,draw,trajectories\traj_036.csv
2026-02-27T10:25:50.600,4,11,2.396329,15.707963,0.053460,3.06,37.939029,37.939029,4.122415,4.122415,37.939029,0,draw,trajectories\traj_037.csv
2026-02-27T10:25:50.689,4,13,2.397648,15.707963,0.055022,3.15,37.977693,37.977693,4.187118,4.187118,37.977693,0,draw,trajectories\traj_038.csv
2026-02-27T10:25:50.780,4,15,2.394923,15.707963,0.055356,3.17,37.883029,37.883029,4.188520,4.188520,37.883029,0,draw,trajectories\traj_039.csv
2026-02-27T10:25:50.887,5,1,2.405631,15.707963,0.052098,2.99,38.263674,38.263674,4.108263,4.108263,38.263674,0,draw,trajectories\traj_040.csv
2026-02-27T10:25:50.981,5,3,2.402478,15.707963,0.055265,3.17,38.142199,38.142199,4.216344,4.216344,38.142199,0,draw,trajectories\traj_041.csv
2026-02-27T10:25:51.076,5,5,2.405648,15.707963,0.054402,3.12,38.254696,38.254696,4.196461,4.196461,38.254696,0,draw,trajectories\traj_042.csv
2026-02-27T10:25:51.171,5,7,2.412145,15.707963,0.054671,3.13,38.477158,38.477158,4.233663,4.233663,38.477158,0,draw,trajectories\traj_043.csv
2026-02-27T10:25:51.264,5,9,2.408092,15.707963,0.056013,3.21,38.331895,38.331895,4.268305,4.268305,38.331895,0,draw,trajectories\traj_044.csv
2026-02-27T10:25:51.366,5,11,2.394964,15.707963,0.054223,3.11,37.889175,37.889175,4.145773,4.145773,37.889175,0,draw,trajectories\traj_045.csv
2026-02-27T10:25:51.464,5,13,2.395022,15.707963,0.053935,3.09,37.892326,37.892326,4.135085,4.135085,37.892326,0,draw,trajectories\traj_046.csv
2026-02-27T10:25:51.556,5,15,2.402504,15.707963,0.056535,3.24,38.137716,38.137716,4.264895,4.264895,38.137716,0,draw,trajectories\traj_047.csv
2026-02-27T10:25:51.689,6,1,2.397116,15.707963,0.053641,3.07,37.965204,37.965204,4.132471,4.132471,37.965204,0,draw,trajectories\traj_048.csv
2026-02-27T10:25:51.787,6,3,2.406874,15.707963,0.055517,3.18,38.292139,38.292139,4.244234,4.244234,38.292139,0,draw,trajectories\traj_049.csv
2026-02-27T10:25:51.879,6,5,2.397389,15.707963,0.050544,2.90,37.987180,37.987180,4.015955,4.015955,37.987180,0,draw,trajectories\traj_050.csv
2026-02-27T10:25:51.971,6,7,2.418906,15.707963,0.053988,3.09,38.713464,38.713464,4.235344,4.235344,38.713464,0,draw,trajectories\traj_051.csv
2026-02-27T10:25:52.067,6,9,2.396018,15.707963,0.056341,3.23,37.916344,37.916344,4.230380,4.230380,37.916344,0,draw,trajectories\traj_052.csv
2026-02-27T10:25:52.165,6,11,2.412049,15.707963,0.057237,3.28,38.462862,38.462862,4.331992,4.331992,38.462862,0,draw,trajectories\traj_053.csv
2026-02-27T10:25:52.264,6,13,2.409478,15.707963,0.053020,3.04,38.392222,38.392222,4.159247,4.159247,38.392222,0,draw,trajectories\traj_054.csv
2026-02-27T10:25:52.365,6,15,2.412081,15.707963,0.056790,3.25,38.465913,38.465913,4.314919,4.314919,38.465913,0,draw,trajectories\traj_055.csv
2026-02-27T10:25:52.480,7,1,2.405174,15.707963,0.052922,3.03,38.244580,38.244580,4.137922,4.137922,38.244580,0,draw,trajectories\traj_056.csv
2026-02-27T10:25:52.591,7,3,2.411742,15.707963,0.053061,3.04,38.470032,38.470032,4.170064,4.170064,38.470032,0,draw,trajectories\traj_057.csv
2026-02-27T10:25:52.688,7,5,2.403446,15.707963,0.055058,3.15,38.176310,38.176310,4.212435,4.212435,38.176310,0,draw,trajectories\traj_058.csv
2026-02-27T10:25:52.799,7,7,2.399651,15.707963,0.054565,3.13,38.048201,38.048201,4.177998,4.177998,38.048201,0,draw,trajectories\traj_059.csv
2026-02-27T10:25:52.944,7,9,2.400553,15.707963,0.054990,3.15,38.077343,38.077343,4.197867,4.197867,38.077343,0,draw,trajectories\traj_060.csv
2026-02-27T10:25:53.064,7,11,2.402507,15.707963,0.054484,3.12,38.146484,38.146484,4.186665,4.186665,38.146484,0,draw,trajectories\traj_061.csv
2026-02-27T10:25:53.172,7,13,2.385122,15.707963,0.055350,3.17,37.548717,37.548717,4.147881,4.147881,37.548717,0,draw,trajectories\traj_062.csv
2026-02-27T10:25:53.266,7,15,2.388757,15.707963,0.097745,5.60,37.462254,37.462254,5.755754,5.755754,37.462254,0,draw,trajectories\traj_063.csv
2026-02-27T10:25:53.643,8,1,2.408886,15.707963,0.057059,3.27,38.354744,38.354744,4.311787,4.311787,38.354744,0,draw,trajectories\traj_064.csv
2026-02-27T10:25:53.733,8,3,2.404838,15.707963,0.054747,3.14,38.225401,38.225401,4.206329,4.206329,38.225401,0,draw,trajectories\traj_065.csv
2026-02-27T10:25:53.826,8,5,2.394621,15.707963,0.055889,3.20,37.870487,37.870487,4.207453,4.207453,37.870487,0,draw,trajectories\traj_066.csv
2026-02-27T10:25:53.922,8,7,2.401098,15.707963,0.053638,3.07,38.101655,38.101655,4.148638,4.148638,38.101655,0,draw,trajectories\traj_067.csv
2026-02-27T10:25:54.017,8,9,2.420070,15.707963,0.058614,3.36,38.733699,38.733699,4.419385,4.419385,38.733699,0,hit,trajectories\traj_068.csv
2026-02-27T10:25:54.108,8,11,2.407204,15.707963,0.056744,3.25,38.298232,38.298232,4.292621,4.292621,38.298232,0,draw,trajectories\traj_069.csv
2026-02-27T10:25:54.209,8,13,2.410556,15.707963,0.055058,3.15,38.420781,38.420781,4.241959,4.241959,38.420781,0,draw,trajectories\traj_070.csv
2026-02-27T10:25:54.305,8,15,2.409113,15.707963,0.051499,2.95,38.385930,38.385930,4.099382,4.099382,38.385930,0,draw,trajectories\traj_071.csv
2026-02-27T10:25:54.411,9,1,2.406931,15.707963,0.053325,3.06,38.303306,38.303306,4.160521,4.160521,38.303306,0,draw,trajectories\traj_072.csv
2026-02-27T10:25:54.508,9,3,2.405413,15.707963,0.057646,3.30,38.232800,38.232800,4.319548,4.319548,38.232800,0,draw,trajectories\traj_073.csv
2026-02-27T10:25:54.604,9,5,2.416854,15.707963,0.055742,3.19,38.635073,38.635073,4.294620,4.294620,38.635073,0,draw,trajectories\traj_074.csv
2026-02-27T10:25:54.694,9,7,2.411095,15.707963,0.053989,3.09,38.443861,38.443861,4.203097,4.203097,38.443861,0,draw,trajectories\traj_075.csv
2026-02-27T10:25:54.790,9,9,2.398699,15.707963,0.057798,3.31,38.001899,38.001899,4.296938,4.296938,38.001899,0,draw,trajectories\traj_076.csv
2026-02-27T10:25:54.889,9,11,2.405218,15.707963,0.058937,3.38,38.220502,38.220502,4.368088,4.368088,38.220502,0,draw,trajectories\traj_077.csv
2026-02-27T10:25:54.989,9,13,2.409728,15.707963,0.053394,3.06,38.399271,38.399271,4.174622,4.174622,38.399271,0,draw,trajectories\traj_078.csv
