x,y
0.000000,0.000000
0.002403,0.000136
0.004806,0.000273
0.007209,0.000409
0.009612,0.000545
0.012014,0.000682
0.014417,0.000818
0.016820,0.000954
0.019222,0.001091
0.021624,0.001227
0.024027,0.001363
0.026429,0.001500
0.028831,0.001636
0.031234,0.001773
0.033636,0.001909
0.036038,0.002045
0.038440,0.002182
0.040841,0.002318
0.043243,0.002454
0.045645,0.002591
0.048047,0.002727
0.050448,0.002864
0.052850,0.003000
0.055251,0.003137
0.057653,0.003273
0.060054,0.003410
0.062455,0.003546
0.064856,0.003682
0.067258,0.003819
0.069659,0.003955
0.072060,0.004092
0.074460,0.004228
0.076861,0.004365
0.079262,0.004501
0.081663,0.004638
0.084063,0.004774
0.086464,0.004911
0.088864,0.005047
0.091265,0.005184
0.093665,0.005320
0.096065,0.005457
0.098466,0.005594
0.100866,0.005730
0.103266,0.005867
0.105666,0.006003
0.108066,0.006140
0.110466,0.006276
0.112865,0.006413
0.115265,0.006550
0.117665,0.006686
0.120064,0.006823
0.122464,0.006959
0.124863,0.007096
0.127263,0.007233
0.129662,0.007369
0.132061,0.007506
0.134460,0.007642
0.136859,0.007779
0.139258,0.007916
0.141657,0.008052
0.144056,0.008189
0.146455,0.008326
0.148854,0.008462
0.151252,0.008599
0.153651,0.008736
0.156050,0.008872
0.158448,0.009009
0.160846,0.009146
0.163245,0.009282
0.165643,0.009419
0.168041,0.009556
0.170439,0.009693
0.172837,0.009829
0.175235,0.009966
0.177633,0.010103
0.180031,0.010240
0.182429,0.010376
0.184826,0.010513
0.187224,0.010650
0.189622,0.010787
0.192019,0.010923
0.194417,0.011060
0.196814,0.011197
0.199211,0.011334
0.201608,0.011470
0.204005,0.011607
0.206403,0.011744
0.208800,0.011881
0.211196,0.012018
0.213593,0.012155
0.215990,0.012291
0.218387,0.012428
0.220783,0.012565
0.223180,0.012702
0.225577,0.012839
0.227973,0.012976
0.230369,0.013112
0.232766,0.013249
0.235162,0.013386
0.237558,0.013523
0.239954,0.013660
0.242350,0.013797
0.244746,0.013934
0.247142,0.014071
0.249538,0.014208
0.251933,0.014344
0.254329,0.014481
0.256725,0.014618
0.259120,0.014755
0.261516,0.014892
0.263911,0.015029
0.266306,0.015166
0.268702,0.015303
0.271097,0.015440
0.273492,0.015577
0.275887,0.015714
0.278282,0.015851
0.280677,0.015988
0.283072,0.016125
0.285466,0.016262
0.287861,0.016399
0.290256,0.016536
0.292650,0.016673
0.295045,0.016810
0.297439,0.016947
0.299833,0.017084
0.302228,0.017221
0.304622,0.017358
0.307016,0.017495
0.309410,0.017632
0.311804,0.017769
0.314198,0.017906
0.316592,0.018043
0.318986,0.018180
0.321379,0.018318
0.323773,0.018455
0.326167,0.018592
0.328560,0.018729
0.330953,0.018866
0.333347,0.019003
0.335740,0.019140
0.338133,0.019277
0.340526,0.019414
0.342920,0.019552
0.345313,0.019689
0.347705,0.019826
0.350098,0.019963
0.352491,0.020100
0.354884,0.020237
0.357277,0.020374
0.359669,0.020512
0.362062,0.020649
0.364454,0.020786
0.366846,0.020923
0.369239,0.021060
0.371631,0.021198
0.374023,0.021335
0.376415,0.021472
0.378807,0.021609
0.381199,0.021746
0.383591,0.021884
0.385983,0.022021
0.388375,0.022158
0.390766,0.022295
0.393158,0.022433
0.395550,0.022570
0.397941,0.022707
0.400332,0.022845
0.402724,0.022982
0.405115,0.023119
0.407506,0.023256
0.409897,0.023394
0.412288,0.023531
0.414679,0.023668
0.417070,0.023806
0.419461,0.023943
0.421852,0.024080
0.424243,0.024218
0.426633,0.024355
0.429024,0.024492
0.431414,0.024630
0.433805,0.024767
0.436195,0.024904
0.438585,0.025042
0.440976,0.025179
0.443366,0.025316
0.445756,0.025454
0.448146,0.025591
0.450536,0.025729
0.452926,0.025866
0.455315,0.026003
0.457705,0.026141
0.460095,0.026278
0.462484,0.026416
0.464874,0.026553
0.467263,0.026691
0.469653,0.026828
0.472042,0.026965
0.474431,0.027103
0.476820,0.027240
0.479210,0.027378
0.481599,0.027515
0.483988,0.027653
0.486376,0.027790
0.488765,0.027928
0.491154,0.028065
0.493543,0.028203
0.495931,0.028340
0.498320,0.028478
0.500708,0.028615
0.503097,0.028753
0.505485,0.028890
0.507873,0.029028
0.510261,0.029165
0.512650,0.029303
0.515038,0.029440
0.517426,0.029578
0.519813,0.029716
0.522201,0.029853
0.524589,0.029991
0.526977,0.030128
0.529364,0.030266
0.531752,0.030403
0.534139,0.030541
0.536527,0.030679
0.538914,0.030816
0.541301,0.030954
0.543689,0.031092
0.546076,0.031229
0.548463,0.031367
0.550850,0.031504
0.553237,0.031642
0.555624,0.031780
0.558010,0.031917
0.560397,0.032055
0.562784,0.032193
0.565170,0.032330
0.567557,0.032468
0.569943,0.032606
0.572330,0.032743
0.574716,0.032881
0.577102,0.033019
0.579488,0.033157
0.581875,0.033294
0.584261,0.033432
0.586646,0.033570
0.589032,0.033707
0.591418,0.033845
0.593804,0.033983
0.596190,0.034121
0.598575,0.034258
0.600961,0.034396
0.603346,0.034534
0.605732,0.034672
0.608117,0.034809
0.610502,0.034947
0.612887,0.035085
0.615272,0.035223
0.617657,0.035361
0.620042,0.035498
0.622427,0.035636
0.624812,0.035774
0.627197,0.035912
0.629582,0.036050
0.631966,0.036187
0.634351,0.036325
0.636735,0.036463
