end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
0,1,0,team0,1,0,2.399593938390183,-15.707963267948966,1.516281600777413
0,2,1,team1,1,1,2.400832346035545,-1.570796327,1.5174899657297323
0,3,1,team0,2,1,2.4138921102778714,15.707963267948966,1.6274228219723448
0,4,2,team1,2,2,2.409693470281258,-1.570796327,1.5182005355967365
0,5,2,team0,2,2,3.9910974579964797,0.0001,1.5673848854739885
0,6,3,team1,2,3,2.3956883755895366,-1.570796327,1.5151091062291593
0,7,3,team0,2,2,4.005741247383544,0.0001,1.5717588511674339
0,8,4,team1,2,3,2.4006825338191855,-1.570796327,1.515081652876651
0,9,4,team0,2,3,3.992636371499227,0.0001,1.5684801281719691
0,10,5,team1,2,4,2.404088941995679,-1.570796327,1.5184720299284626
0,11,5,team0,2,4,4.009593210011378,0.0001,1.5716205934471779
0,12,6,team1,2,5,2.3992427147377153,-1.570796327,1.5172668327110657
0,13,6,team0,2,5,3.9997566087394056,0.0001,1.5674821991877677
0,14,7,team1,2,6,2.4025127444787753,-1.570796327,1.514389496268583
0,15,7,team0,1,4,3.994278963284296,0.0001,1.5711416032916565
0,16,8,team1,1,5,2.407907877785899,-1.570796327,1.5143016469086952
1,1,0,team0,1,0,2.4076538261955673,-15.707963267948966,1.5146882932949017
1,2,1,team1,1,1,2.3934041622595994,-1.570796327,1.5124273870852092
1,3,1,team0,2,1,2.413787119968244,-15.707963267948966,1.5140595165296489
1,4,2,team1,2,2,2.402410896815268,-1.570796327,1.5192929177579502
1,5,2,team0,2,2,3.9953561272983085,0.0001,1.569176179405075
1,6,3,team1,2,3,2.3944810607210485,-1.570796327,1.5148296508350048
1,7,3,team0,3,3,2.406860759051017,15.707963267948966,1.628257843553168
1,8,4,team1,3,4,2.396257256817404,-1.570796327,1.513863938541227
1,9,4,team0,4,4,2.4129079732063903,15.707963267948966,1.6262864759919295
1,10,5,team1,4,5,2.404960466909538,-1.570796327,1.5160265936157151
1,11,5,team0,5,5,2.3927169956205705,15.707963267948966,1.6293265362744764
1,12,6,team1,5,6,2.390231665168731,-1.570796327,1.5145200224266169
1,13,6,team0,6,6,2.3905244766061298,15.707963267948966,1.6264575261504357
1,14,7,team1,6,7,2.3981643877972303,-1.570796327,1.5128912949377513
1,15,7,team0,7,7,2.3968340281462885,15.707963267948966,1.627314701338329
1,16,8,team1,7,8,2.3903195641937556,-1.570796327,1.519211372782134
2,1,0,team1,0,1,2.4064568924583942,-1.570796327,1.5183647086358683
2,2,1,team0,0,1,4.000756539154598,0.0001,1.575989833752614
2,3,1,team1,0,2,2.3927294709231326,-1.570796327,1.5113804055437652
2,4,2,team0,0,2,3.9935762101002807,0.0001,1.5727590626128318
2,5,2,team1,0,3,2.3953391682665597,-1.570796327,1.5190765074518073
2,6,3,team0,0,1,4.006876456629989,0.0001,1.5771917829977808
2,7,3,team1,0,2,2.394370389115414,-1.570796327,1.512192687747431
2,8,4,team0,0,2,4.000189444747702,0.0001,1.565868531733637
2,9,4,team1,0,3,2.399795617108911,-1.570796327,1.5136338657807422
2,10,5,team0,0,3,3.9976130101242506,0.0001,1.5645585219310056
2,11,5,team1,0,4,2.3827373492069337,-1.570796327,1.51460234333809
2,12,6,team0,0,4,4.000574805732655,0.0001,1.5711260302044137
2,13,6,team1,0,5,2.4085554532310782,-1.570796327,1.514440949324782
2,14,7,team0,1,2,3.98636657496649,0.0001,1.5736668321749598
2,15,7,team1,1,3,2.390183675334381,-1.570796327,1.5184025801933254
2,16,8,team0,1,3,3.9882897702234814,0.0001,1.577083416751997
3,1,0,team0,1,0,2.4125283985211703,-15.707963267948966,1.5132869619614349
3,2,1,team1,1,1,2.3907213466992543,-1.570796327,1.5160348127877628
3,3,1,team0,2,1,2.4074132861734703,-15.707963267948966,1.5145438849665729
3,4,2,team1,2,2,2.401980838987118,-1.570796327,1.5152372120561768
3,5,2,team0,3,2,2.4151598202135482,-15.707963267948966,1.5119143501742962
3,6,3,team1,3,3,2.395583066370026,-1.570796327,1.5165424472371503
3,7,3,team0,4,3,2.4157721366639504,-15.707963267948966,1.5134625776145956
3,8,4,team1,4,4,2.397940712230357,-1.570796327,1.5165275376982406
3,9,4,team0,4,3,4.0120221596107015,0.0001,1.5755498560369554
3,10,5,team1,4,4,2.4031172266896057,-1.570796327,1.5190697354289404
3,11,5,team0,4,3,4.001395349246516,0.0001,1.5794586079311201
3,12,6,team1,4,4,2.394969500134217,-1.570796327,1.5131250984944322
