ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x_model,final_y_model,dc_x,dc_y,in_house,class,trajectory_file
2026-02-26T15:01:25.113,4,9,2.404467,15.707963,-0.140081,-8.03,38.303777,38.303777,-3.272659,-3.272659,38.303777,0,guard,trajectories\traj_036.csv
2026-02-26T15:01:25.231,4,11,2.399377,15.707963,-0.138966,-7.96,38.132001,38.132001,-3.216960,-3.216960,38.132001,0,guard,trajectories\traj_037.csv
2026-02-26T15:01:25.332,4,13,2.409816,15.707963,-0.140380,-8.04,38.487524,38.487524,-3.298051,-3.298051,38.487524,0,guard,trajectories\traj_038.csv
2026-02-26T15:01:25.442,4,15,2.395144,15.707963,-0.135388,-7.76,37.997660,37.997660,-3.070203,-3.070203,37.997660,0,guard,trajectories\traj_039.csv
2026-02-26T15:01:25.554,5,1,2.415669,15.707963,-0.133332,-7.64,38.712617,38.712617,-3.040568,-3.040568,38.712617,0,guard,trajectories\traj_040.csv
2026-02-26T15:01:25.653,5,3,2.392097,15.707963,-0.138407,-7.93,37.883637,37.883637,-3.177203,-3.177203,37.883637,0,guard,trajectories\traj_041.csv
2026-02-26T15:01:25.748,5,5,2.404224,15.707963,-0.136792,-7.84,38.305943,38.305943,-3.146054,-3.146054,38.305943,0,guard,trajectories\traj_042.csv
2026-02-26T15:01:25.841,5,7,2.404770,15.707963,-0.142185,-8.15,38.307252,38.307252,-3.354030,-3.354030,38.307252,0,guard,trajectories\traj_043.csv
2026-02-26T15:01:25.936,5,9,2.396262,15.707963,-0.133572,-7.65,38.041596,38.041596,-3.003839,-3.003839,38.041596,0,guard,trajectories\traj_044.csv
2026-02-26T15:01:26.028,5,11,2.400096,15.707963,-0.138432,-7.93,38.158444,38.158444,-3.198380,-3.198380,38.158444,0,guard,trajectories\traj_045.csv
2026-02-26T15:01:26.127,5,13,2.397532,15.707963,-0.135758,-7.78,38.078630,38.078630,-3.090096,-3.090096,38.078630,0,guard,trajectories\traj_046.csv
2026-02-26T15:01:26.226,5,15,2.415151,15.707963,-0.141488,-8.11,38.668557,38.668557,-3.354831,-3.354831,38.668557,0,guard,trajectories\traj_047.csv
2026-02-26T15:01:26.339,6,1,2.397746,15.707963,-0.138710,-7.95,38.076696,38.076696,-3.203018,-3.203018,38.076696,0,guard,trajectories\traj_048.csv
2026-02-26T15:01:26.444,6,3,2.399362,15.707963,-0.137540,-7.88,38.136038,38.136038,-3.162538,-3.162538,38.136038,0,guard,trajectories\traj_049.csv
2026-02-26T15:01:26.552,6,5,2.400190,15.707963,-0.142012,-8.14,38.149981,38.149981,-3.335227,-3.335227,38.149981,0,guard,trajectories\traj_050.csv
2026-02-26T15:01:26.678,6,7,2.401843,15.707963,-0.137489,-7.88,38.221628,38.221628,-3.166784,-3.166784,38.221628,0,guard,trajectories\traj_051.csv
2026-02-26T15:01:26.805,6,9,2.403509,15.707963,-0.141916,-8.13,38.264644,38.264644,-3.340373,-3.340373,38.264644,0,guard,trajectories\traj_052.csv
2026-02-26T15:01:26.898,6,11,2.393746,15.707963,-0.137685,-7.89,37.942507,37.942507,-3.153993,-3.153993,37.942507,0,guard,trajectories\traj_053.csv
2026-02-26T15:01:26.993,6,13,2.404805,15.707963,-0.139756,-8.01,38.316472,38.316472,-3.261066,-3.261066,38.316472,0,guard,trajectories\traj_054.csv
2026-02-26T15:01:27.091,6,15,2.401929,15.707963,-0.138769,-7.95,38.220524,38.220524,-3.215907,-3.215907,38.220524,0,guard,trajectories\traj_055.csv
2026-02-26T15:01:27.205,7,1,2.397176,15.707963,-0.138443,-7.93,38.057957,38.057957,-3.191433,-3.191433,38.057957,0,guard,trajectories\traj_056.csv
2026-02-26T15:01:27.308,7,3,2.395219,15.707963,-0.138961,-7.96,37.989026,37.989026,-3.206152,-3.206152,37.989026,0,guard,trajectories\traj_057.csv
2026-02-26T15:01:27.408,7,5,2.398862,15.707963,-0.141820,-8.13,38.104941,38.104941,-3.324374,-3.324374,38.104941,0,guard,trajectories\traj_058.csv
2026-02-26T15:01:27.509,7,7,2.404086,15.707963,-0.140195,-8.03,38.290231,38.290231,-3.276029,-3.276029,38.290231,0,guard,trajectories\traj_059.csv
2026-02-26T15:01:27.606,7,9,2.391373,15.707963,-0.138266,-7.92,37.859232,37.859232,-3.170037,-3.170037,37.859232,0,guard,trajectories\traj_060.csv
2026-02-26T15:01:27.711,7,11,2.394440,15.707963,-0.133931,-7.67,37.977912,37.977912,-3.013185,-3.013185,37.977912,0,guard,trajectories\traj_061.csv
2026-02-26T15:01:27.843,7,13,2.398318,15.707963,-0.139463,-7.99,38.093940,38.093940,-3.233175,-3.233175,38.093940,0,guard,trajectories\traj_062.csv
2026-02-26T15:01:28.005,7,15,2.405423,15.707963,-0.141118,-8.09,38.333329,38.333329,-3.314866,-3.314866,38.333329,0,guard,trajectories\traj_063.csv
2026-02-26T15:01:28.131,8,1,2.405105,15.707963,-0.137961,-7.90,38.332646,38.332646,-3.193046,-3.193046,38.332646,0,guard,trajectories\traj_064.csv
2026-02-26T15:01:28.247,8,3,2.402582,15.707963,-0.140519,-8.05,38.237345,38.237345,-3.284500,-3.284500,38.237345,0,guard,trajectories\traj_065.csv
2026-02-26T15:01:28.345,8,5,2.402618,15.707963,-0.137153,-7.86,38.249426,38.249426,-3.155871,-3.155871,38.249426,0,guard,trajectories\traj_066.csv
2026-02-26T15:01:28.461,8,7,2.411606,15.707963,-0.141633,-8.11,38.545303,38.545303,-3.351005,-3.351005,38.545303,0,guard,trajectories\traj_067.csv
2026-02-26T15:01:28.617,8,9,2.392181,15.707963,-0.139831,-8.01,37.881958,37.881958,-3.231369,-3.231369,37.881958,0,guard,trajectories\traj_068.csv
2026-02-26T15:01:28.728,8,11,2.389609,15.707963,-0.141440,-8.10,37.788523,37.788523,-3.285568,-3.285568,37.788523,0,guard,trajectories\traj_069.csv
2026-02-26T15:01:28.828,8,13,2.408844,15.707963,-0.136507,-7.82,38.466398,38.466398,-3.146550,-3.146550,38.466398,0,guard,trajectories\traj_070.csv
2026-02-26T15:01:28.933,8,15,2.403847,15.707963,-0.137645,-7.89,38.290237,38.290237,-3.177785,-3.177785,38.290237,0,guard,trajectories\traj_071.csv
2026-02-26T15:01:29.049,9,1,2.400006,15.707963,-0.137908,-7.90,38.157027,38.157027,-3.178173,-3.178173,38.157027,0,guard,trajectories\traj_072.csv
2026-02-26T15:01:29.146,9,3,2.401740,15.707963,-0.140798,-8.07,38.207391,38.207391,-3.292991,-3.292991,38.207391,0,guard,trajectories\traj_073.csv
2026-02-26T15:01:29.248,9,5,2.411715,15.707963,-0.138159,-7.92,38.560469,38.560469,-3.217358,-3.217358,38.560469,0,guard,trajectories\traj_074.csv
2026-02-26T15:01:29.351,9,7,2.402567,15.707963,-0.138598,-7.94,38.243066,38.243066,-3.211001,-3.211001,38.243066,0,guard,trajectories\traj_075.csv
2026-02-26T15:01:29.450,9,9,2.400726,15.707963,-0.137984,-7.91,38.181570,38.181570,-3.182878,-3.182878,38.181570,0,guard,trajectories\traj_076.csv
2026-02-26T15:01:29.550,9,11,2.401849,15.707963,-0.139235,-7.98,38.216250,38.216250,-3.233533,-3.233533,38.216250,0,guard,trajectories\traj_077.csv
2026-02-26T15:01:29.652,9,13,2.404600,15.707963,-0.141451,-8.10,38.303843,38.303843,-3.325481,-3.325481,38.303843,0,guard,trajectories\traj_078.csv
2026-02-26T15:01:29.750,9,15,2.395820,15.707963,-0.136996,-7.85,38.015902,38.015902,-3.132988,-3.132988,38.015902,0,guard,trajectories\traj_079.csv
