TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=0.20564725995063782, y=38.53032302856445, dist=0.208
End 1: team=team1, x=-0.15057724714279175, y=38.785797119140625, dist=0.323
End 2: team=team1, x=-0.02183636650443077, y=38.080570220947266, dist=0.42
End 3: team=team1, x=0.02569948509335518, y=38.486732482910156, dist=0.029
End 4: team=team1, x=-0.07146678119897842, y=38.61249923706055, dist=0.133
End 5: team=team1, x=0.05420839786529541, y=38.354549407958984, dist=0.155
End 6: team=team1, x=0.1786929965019226, y=38.62015914916992, dist=0.215
End 7: team=team1, x=-0.08614037185907364, y=37.921661376953125, dist=0.585
End 8: team=team1, x=-0.11869555711746216, y=38.06681823730469, dist=0.449
End 9: team=team1, x=-0.1417270451784134, y=38.56554412841797, dist=0.156
