timestamp,end_number,shot_number,total_shot_number,next_shot_team,translational_velocity,angular_velocity,shot_angle
2026-02-25T14:31:13.363,0,0,1,team1,2.404775083508634,15.707963267948966,0.05797573593780571
2026-02-25T14:31:13.439,0,1,2,team0,2.334823293737142,1.5707963267948966,1.5701608689399882
2026-02-25T14:31:13.483,0,1,3,team1,2.4022567879680676,15.707963267948966,0.05516494982844504
2026-02-25T14:31:13.566,0,2,4,team0,2.3411476944133853,1.5707963267948966,1.571517921892626
2026-02-25T14:31:13.614,0,2,5,team1,2.3985498116970043,15.707963267948966,0.05508325700727895
2026-02-25T14:31:13.727,0,3,6,team0,2.4198484144672583,1.5707963267948966,1.572673611083601
2026-02-25T14:31:13.766,0,3,7,team1,2.3727214132849013,15.707963267948966,0.07900571565152606
2026-02-25T14:31:13.876,0,4,8,team0,2.418212512927802,1.5707963267948966,1.5719079161523426
2026-02-25T14:31:13.956,0,4,9,team1,2.3729501606767793,15.707963267948966,0.07943132738384233
2026-02-25T14:31:14.030,0,5,10,team0,2.4169734917324033,1.5707963267948966,1.5729087103715869
2026-02-25T14:31:14.066,0,5,11,team1,2.381720486757982,15.707963267948966,0.07746311993363095
2026-02-25T14:31:14.135,0,6,12,team0,2.4127456914352576,1.5707963267948966,1.5726845670400262
2026-02-25T14:31:14.169,0,6,13,team1,2.387152463347621,15.707963267948966,0.07927929056146957
2026-02-25T14:31:14.258,0,7,14,team0,2.4233425849057704,1.5707963267948966,1.571523503907379
2026-02-25T14:31:14.303,0,7,15,team1,2.3918019143953657,15.707963267948966,0.07506610034475578
2026-02-25T14:31:14.402,0,8,16,,2.4170036167158626,1.5707963267948966,1.5767764604467946
2026-02-25T14:31:14.444,1,0,1,team1,2.39574676101879,15.707963267948966,0.0563174606954026
2026-02-25T14:31:14.523,1,1,2,team0,2.4217639480026554,1.5707963267948966,1.5736121034789547
2026-02-25T14:31:14.555,1,1,3,team1,2.3999685836127154,15.707963267948966,0.055325215045630705
2026-02-25T14:31:14.623,1,2,4,team0,2.4163202375040167,1.5707963267948966,1.5706034826399469
2026-02-25T14:31:14.655,1,2,5,team1,2.396731711418174,15.707963267948966,0.05365134292598377
2026-02-25T14:31:14.718,1,3,6,team0,2.4161122427612685,1.5707963267948966,1.5677490852723857
2026-02-25T14:31:14.750,1,3,7,team1,2.402050602393455,15.707963267948966,0.05540564026035674
2026-02-25T14:31:14.817,1,4,8,team0,2.430869197129399,1.5707963267948966,1.5704550498263652
2026-02-25T14:31:14.850,1,4,9,team1,2.399393910228566,15.707963267948966,0.05312559479324803
2026-02-25T14:31:14.919,1,5,10,team0,2.4111597401138813,1.5707963267948966,1.5707783026722526
2026-02-25T14:31:14.953,1,5,11,team1,2.406991621815558,15.707963267948966,0.056630888334158094
2026-02-25T14:31:15.020,1,6,12,team0,2.422571289512148,1.5707963267948966,1.5710020145291257
2026-02-25T14:31:15.052,1,6,13,team1,2.402649725666279,15.707963267948966,0.05759515841875968
2026-02-25T14:31:15.118,1,7,14,team0,2.4259799497903756,1.5707963267948966,1.5708607680142865
2026-02-25T14:31:15.150,1,7,15,team1,2.3998631055680186,15.707963267948966,0.057097628668885625
2026-02-25T14:31:15.225,1,8,16,,2.42380253450769,1.5707963267948966,1.5730936793097658
2026-02-25T14:31:15.265,2,0,1,team1,2.41188044404798,15.707963267948966,0.053590831200886854
2026-02-25T14:31:15.329,2,1,2,team0,2.4145425482992278,1.5707963267948966,1.5681980583604103
2026-02-25T14:31:15.360,2,1,3,team1,2.4025117868425743,15.707963267948966,0.053682021814907
2026-02-25T14:31:15.424,2,2,4,team0,2.4069929033802895,1.5707963267948966,1.5698995790339847
2026-02-25T14:31:15.463,2,2,5,team1,2.3985551530212628,15.707963267948966,0.053828059474116924
2026-02-25T14:31:15.526,2,3,6,team0,2.4139701791416135,1.5707963267948966,1.5702945567778117
2026-02-25T14:31:15.557,2,3,7,team1,2.402503176040454,15.707963267948966,0.05673530450349372
2026-02-25T14:31:15.623,2,4,8,team0,2.421664213993056,1.5707963267948966,1.5740816170251817
2026-02-25T14:31:15.654,2,4,9,team1,2.4113166559523536,15.707963267948966,0.05688861267406822
