timestamp,end_number,shot_number,total_shot_number,next_shot_team,translational_velocity,angular_velocity,shot_angle,score_team0,score_team1,team1_first_x,team1_first_y,team1_nonzero_count
2026-02-25T12:40:45.439,0,0,1,team1,2.400419268716504,1.5707963267948966,0.05599670699094549,0,0,0.0,0.0,0
2026-02-25T12:40:45.520,0,1,2,team0,2.3295118129932937,1.5707963267948966,1.6006404952819162,0,0,0.8725070953369141,35.88564682006836,1
2026-02-25T12:40:45.556,0,1,3,team1,2.412333079658441,1.5707963267948966,0.0555254200444042,0,0,0.8725070953369141,35.88564682006836,1
2026-02-25T12:40:45.650,0,2,4,team0,2.331939351821018,1.5707963267948966,1.602194773699052,0,0,1.016741156578064,36.17988967895508,2
2026-02-25T12:40:45.686,0,2,5,team1,2.4049203280106766,1.5707963267948966,0.05139831365207873,0,0,1.016741156578064,36.17988967895508,2
2026-02-25T12:40:45.753,0,3,6,team0,2.3275887850460606,1.5707963267948966,1.603399401257062,0,0,1.088539481163025,36.26778793334961,3
2026-02-25T12:40:45.787,0,3,7,team1,2.397722764689348,1.5707963267948966,0.054056780328056525,0,0,1.088539481163025,36.26778793334961,3
2026-02-25T12:40:45.851,0,4,8,team0,2.3309069595928884,1.5707963267948966,1.5984643499353963,0,0,1.088539481163025,36.26778793334961,4
2026-02-25T12:40:45.888,0,4,9,team1,2.3937566530641683,1.5707963267948966,0.05522578337883088,0,0,1.088539481163025,36.26778793334961,4
2026-02-25T12:40:45.952,0,5,10,team0,2.329615670389262,1.5707963267948966,1.597974565193019,0,0,1.0881212949752808,36.268611907958984,5
2026-02-25T12:40:45.984,0,5,11,team1,2.4041810461685444,1.5707963267948966,0.058274015312370815,0,0,1.0881212949752808,36.268611907958984,5
2026-02-25T12:40:46.058,0,6,12,team0,2.342702903545615,1.5707963267948966,1.6013222872095345,0,0,1.048182725906372,36.32184982299805,6
2026-02-25T12:40:46.089,0,6,13,team1,2.4157382719004485,1.5707963267948966,0.057349524683695426,0,0,1.048182725906372,36.32184982299805,6
2026-02-25T12:40:46.158,0,7,14,team0,2.3219730578694966,1.5707963267948966,1.6009701834813717,0,0,1.048182725906372,36.32184982299805,7
2026-02-25T12:40:46.192,0,7,15,team1,2.397807332720469,1.5707963267948966,0.05331355576495393,0,0,1.048182725906372,36.32184982299805,7
2026-02-25T12:40:46.267,0,8,16,,2.3218379504147815,1.5707963267948966,1.5982333482391895,0,0,1.048182725906372,36.32184982299805,8
2026-02-25T12:40:46.309,1,0,1,team1,2.396742555113126,1.5707963267948966,0.05562084037072202,0,0,0.0,0.0,0
2026-02-25T12:40:46.376,1,1,2,team0,2.321126832840619,1.5707963267948966,1.6021021581553532,0,0,0.8108727335929871,35.60763931274414,1
2026-02-25T12:40:46.413,1,1,3,team1,2.407265188175175,1.5707963267948966,0.05489488226210979,0,0,0.8108727335929871,35.60763931274414,1
2026-02-25T12:40:46.477,1,2,4,team0,2.319968697392867,1.5707963267948966,1.6022853627148321,0,0,0.8816835284233093,35.85018539428711,2
2026-02-25T12:40:46.510,1,2,5,team1,2.4028645369294224,1.5707963267948966,0.05472552988820722,0,0,0.8816835284233093,35.85018539428711,2
2026-02-25T12:40:46.575,1,3,6,team0,2.334041355103322,1.5707963267948966,1.5998539170118673,0,0,1.1116011142730713,36.52485275268555,3
2026-02-25T12:40:46.606,1,3,7,team1,2.401090762280747,1.5707963267948966,0.05153822685582351,0,0,1.1116011142730713,36.52485275268555,3
2026-02-25T12:40:46.670,1,4,8,team0,2.3322792630079796,1.5707963267948966,1.599514292089171,0,0,1.1116011142730713,36.52485275268555,4
2026-02-25T12:40:46.703,1,4,9,team1,2.4127082621948928,1.5707963267948966,0.05234422299434708,0,0,1.1116011142730713,36.52485275268555,4
2026-02-25T12:40:46.776,1,5,10,team0,2.3375038294882895,1.5707963267948966,1.5993146997795784,0,0,1.1116011142730713,36.52485275268555,5
2026-02-25T12:40:46.831,1,5,11,team1,2.290628292824618,1.5707963267948966,0.07447150373021356,0,0,1.1116011142730713,36.52485275268555,5
2026-02-25T12:40:46.917,1,6,12,team0,2.343809525383343,1.5707963267948966,1.598990412361109,0,0,1.1116011142730713,36.52485275268555,6
2026-02-25T12:40:46.950,1,6,13,team1,2.281149550872788,1.5707963267948966,0.07461463951640217,0,0,1.1116011142730713,36.52485275268555,6
2026-02-25T12:40:47.016,1,7,14,team0,2.335117653021964,1.5707963267948966,1.5991472583597364,0,0,1.1200131177902222,36.536746978759766,7
2026-02-25T12:40:47.053,1,7,15,team1,2.2647021824411255,1.5707963267948966,0.06991710816173827,0,0,1.1200131177902222,36.536746978759766,7
2026-02-25T12:40:47.142,1,8,16,,2.329723614922441,1.5707963267948966,1.5992253084966765,0,2,1.2196564674377441,36.61198043823242,8
2026-02-25T12:40:47.183,2,0,1,team1,2.3940715440372755,1.5707963267948966,0.05614373807663872,0,2,0.0,0.0,0
2026-02-25T12:40:47.249,2,1,2,team0,2.3263146830759363,1.5707963267948966,1.5998085110533424,0,2,0.8985907435417175,35.77796936035156,1
2026-02-25T12:40:47.287,2,1,3,team1,2.4045743435125435,1.5707963267948966,0.05578250202896592,0,2,0.8985907435417175,35.77796936035156,1
2026-02-25T12:40:47.356,2,2,4,team0,2.3293845860550815,1.5707963267948966,1.6025640725773287,0,2,1.0565192699432373,36.01424026489258,2
2026-02-25T12:40:47.401,2,2,5,team1,2.4119125925918237,1.5707963267948966,0.05330642069182957,0,2,1.0565192699432373,36.01424026489258,2
2026-02-25T12:40:47.468,2,3,6,team0,2.3331111825055673,1.5707963267948966,1.6012413591568349,0,2,1.0565192699432373,36.01424026489258,3
2026-02-25T12:40:47.499,2,3,7,team1,2.41250678926242,1.5707963267948966,0.053164903700673866,0,2,1.0565192699432373,36.01424026489258,3
2026-02-25T12:40:47.580,2,4,8,team0,2.339058386489672,1.5707963267948966,1.6012910756663872,0,2,1.3975205421447754,36.47675704956055,4
2026-02-25T12:40:47.616,2,4,9,team1,2.4045973374093226,1.5707963267948966,0.053179141671558794,0,2,1.3975205421447754,36.47675704956055,4
2026-02-25T12:40:47.688,2,5,10,team0,2.3241761518616513,1.5707963267948966,1.598039314056302,0,2,1.3975205421447754,36.47675704956055,5
2026-02-25T12:40:47.722,2,5,11,team1,2.403329036908825,1.5707963267948966,0.05738948215661897,0,2,1.3975205421447754,36.47675704956055,5
2026-02-25T12:40:47.787,2,6,12,team0,2.332719062781875,1.5707963267948966,1.5985907730402062,0,2,1.3975205421447754,36.47675704956055,6
2026-02-25T12:40:47.820,2,6,13,team1,2.394920681845126,1.5707963267948966,0.05514836836220019,0,2,1.3975205421447754,36.47675704956055,6
2026-02-25T12:40:47.886,2,7,14,team0,2.3144039752925036,1.5707963267948966,1.5962137920507962,0,2,1.3975205421447754,36.47675704956055,7
2026-02-25T12:40:47.919,2,7,15,team1,2.40824895241402,1.5707963267948966,0.05578910981167677,0,2,1.3975205421447754,36.47675704956055,7
2026-02-25T12:40:47.990,2,8,16,,2.330153412000144,1.5707963267948966,1.5996553112897913,0,2,1.3975205421447754,36.47675704956055,8
2026-02-25T12:40:48.029,3,0,1,team1,2.3977741175525793,1.5707963267948966,0.05762561766733817,0,2,0.0,0.0,0
2026-02-25T12:40:48.097,3,1,2,team0,2.328847551743006,1.5707963267948966,1.5993368398520054,0,2,0.9184432625770569,35.86140060424805,1
2026-02-25T12:40:48.129,3,1,3,team1,2.4070252942288795,1.5707963267948966,0.05692868016175349,0,2,0.9184432625770569,35.86140060424805,1
2026-02-25T12:40:48.197,3,2,4,team0,2.3381870816044823,1.5707963267948966,1.602227006708314,0,2,1.1569335460662842,36.146018981933594,2
2026-02-25T12:40:48.230,3,2,5,team1,2.4034512604488225,1.5707963267948966,0.051945638657105504,0,2,1.1569335460662842,36.146018981933594,2
2026-02-25T12:40:48.292,3,3,6,team0,2.337286082366692,1.5707963267948966,1.5995989987222683,0,2,1.1569335460662842,36.146018981933594,3
