timestamp,end_number,shot_number,total_shot_number,next_shot_team,translational_velocity,angular_velocity,shot_angle
2026-02-25T14:45:31.332,0,0,1,team1,2.406297884190757,15.707963267948966,0.05490905130698781
2026-02-25T14:45:31.400,0,1,2,team0,2.3156207854096995,1.5707963267948966,1.5704407601879449
2026-02-25T14:45:31.444,0,1,3,team1,2.419352840528911,15.707963267948966,0.05627633288472094
2026-02-25T14:45:31.523,0,2,4,team0,2.3201270904933913,1.5707963267948966,1.5725264719325227
2026-02-25T14:45:31.559,0,2,5,team1,2.3994714735520146,15.707963267948966,0.05333877522024634
2026-02-25T14:45:31.636,0,3,6,team0,2.431449710547079,1.5707963267948966,1.5704448076106348
2026-02-25T14:45:31.671,0,3,7,team1,2.4066399536541634,15.707963267948966,0.05428119754457627
2026-02-25T14:45:31.742,0,4,8,team0,2.409224293687881,1.5707963267948966,1.5726794716641268
2026-02-25T14:45:31.777,0,4,9,team1,2.406447816653599,15.707963267948966,0.05264893388734694
2026-02-25T14:45:31.845,0,5,10,team0,2.4156581388820944,1.5707963267948966,1.5752054524239794
2026-02-25T14:45:31.880,0,5,11,team1,2.4151470131478563,15.707963267948966,0.10203833760395861
2026-02-25T14:45:31.946,0,6,12,team0,2.4156133454901596,1.5707963267948966,1.5733821579168221
2026-02-25T14:45:31.982,0,6,13,team1,2.395761893942704,15.707963267948966,0.10529083239800903
2026-02-25T14:45:32.051,0,7,14,team0,2.4155252833197713,1.5707963267948966,1.5695558740245117
2026-02-25T14:45:32.082,0,7,15,team1,2.426182334109074,15.707963267948966,0.09612701215214206
2026-02-25T14:45:32.159,0,8,16,,2.4371879139495367,1.5707963267948966,1.5720847644017266
2026-02-25T14:45:32.199,1,0,1,team1,2.3977063977030726,15.707963267948966,0.055200448090376435
2026-02-25T14:45:32.266,1,1,2,team0,2.4238260956670037,1.5707963267948966,1.570665980942938
2026-02-25T14:45:32.299,1,1,3,team1,2.3995278591450213,15.707963267948966,0.0554909611886553
2026-02-25T14:45:32.364,1,2,4,team0,2.413786322029516,1.5707963267948966,1.5686608166047256
2026-02-25T14:45:32.400,1,2,5,team1,2.4127113029617093,15.707963267948966,0.053706014773725684
2026-02-25T14:45:32.466,1,3,6,team0,2.4310638263502446,1.5707963267948966,1.5711367291732814
2026-02-25T14:45:32.500,1,3,7,team1,2.3955985880524584,15.707963267948966,0.05449437819520572
2026-02-25T14:45:32.570,1,4,8,team0,2.4296685440995978,1.5707963267948966,1.5756555075356524
2026-02-25T14:45:32.601,1,4,9,team1,2.406317115560204,15.707963267948966,0.053844737660405234
2026-02-25T14:45:32.668,1,5,10,team0,2.4179279843357055,1.5707963267948966,1.571611575837425
2026-02-25T14:45:32.700,1,5,11,team1,2.412511769884485,15.707963267948966,0.05440543435258838
