end,team,index,x,y
0,team0,0,0.0,0.0
0,team0,1,0.0,0.0
0,team0,2,0.0,0.0
0,team0,3,0.0,0.0
0,team0,4,0.0,0.0
0,team0,5,0.0,0.0
0,team0,6,0.0,0.0
0,team0,7,0.0,0.0
0,team1,0,0.0,0.0
0,team1,1,0.0,0.0
0,team1,2,2.025179386138916,38.940956115722656
0,team1,3,0.9480579495429993,36.484195709228516
0,team1,4,0.0,0.0
0,team1,5,0.0,0.0
0,team1,6,0.0,0.0
0,team1,7,0.0,0.0
