end,team,stone_index,x,y,distance_to_button
0,team0,0,-0.11964403837919235,38.71417236328125,0.245
0,team0,4,1.7760989665985107,37.5810661315918,2.0
0,team0,6,-0.3921678066253662,38.60758972167969,0.407
0,team0,7,-0.37106624245643616,38.199554443359375,0.477
0,team1,1,0.6113336682319641,38.35176467895508,0.629
0,team1,2,1.0582326650619507,37.896060943603516,1.218
0,team1,3,0.36169007420539856,38.178688049316406,0.484
0,team1,4,0.07377815991640091,38.07514572143555,0.431
0,team1,5,0.245273619890213,37.586238861083984,0.946
0,team1,6,-0.5761237740516663,37.8577766418457,0.863
0,team1,7,0.49131375551223755,36.39762496948242,2.159
1,team0,4,0.634631335735321,37.671165466308594,1.044
1,team0,6,0.5680648684501648,39.11769104003906,0.839
1,team0,7,0.5591353178024292,37.1087760925293,1.499
1,team1,2,0.48933106660842896,37.9578971862793,0.73
1,team1,6,0.12939833104610443,37.458126068115234,1.05
1,team1,7,-0.048497218638658524,36.82753372192383,1.673
2,team0,0,0.15705819427967072,39.08431625366211,0.605
2,team0,2,-0.08156738430261612,38.41461944580078,0.118
2,team0,3,-0.8834110498428345,38.130950927734375,0.957
2,team0,4,-0.873295783996582,37.76474380493164,1.142
2,team0,5,-0.4650445580482483,37.952354431152344,0.718
2,team0,6,-0.15314123034477234,37.72045135498047,0.794
2,team0,7,-0.615338146686554,37.5340690612793,1.145
2,team1,1,0.2538396120071411,38.231781005859375,0.369
2,team1,2,0.7961471676826477,38.066802978515625,0.906
2,team1,3,-0.22403718531131744,38.1529541015625,0.413
2,team1,4,0.46041086316108704,38.01542663574219,0.668
2,team1,5,0.5778588056564331,37.68074417114258,1.003
2,team1,6,0.0628826916217804,37.2682991027832,1.233
2,team1,7,0.15326479077339172,36.85395431518555,1.653
3,team0,4,1.494308352470398,38.192501068115234,1.526
3,team0,7,-1.6118083000183105,37.80508041381836,1.755
3,team1,2,-0.062342237681150436,39.028865814208984,0.533
3,team1,3,-0.07881005853414536,38.689727783203125,0.205
3,team1,5,-0.10668325424194336,38.385009765625,0.157
3,team1,6,-0.18539182841777802,37.92868423461914,0.601
4,team0,2,1.7597988843917847,38.14121627807617,1.796
4,team0,3,0.3436943590641022,38.12778091430664,0.507
4,team0,7,1.5460201501846313,37.566654205322266,1.806
4,team1,6,-0.3932657837867737,37.810340881347656,0.794
4,team1,7,-0.0066098980605602264,37.95172882080078,0.548
5,team1,0,0.11604665964841843,39.0592041015625,0.571
5,team1,5,-0.11247973144054413,38.66084289550781,0.196
5,team1,7,0.08568156510591507,37.82244873046875,0.683
6,team0,0,0.4577850103378296,39.29092025756836,0.914
6,team1,3,-0.5973972678184509,39.139976501464844,0.875
6,team1,6,-0.2055988907814026,38.2461051940918,0.327
6,team1,7,0.09686103463172913,37.3936653137207,1.111
7,team0,4,-0.32814663648605347,38.07413864135742,0.538
7,team0,5,1.7577565908432007,37.95485305786133,1.84
7,team0,6,-0.33754947781562805,36.65365219116211,1.877
7,team0,7,1.014197587966919,36.21860122680664,2.497
7,team1,2,0.45795831084251404,37.99589538574219,0.681
7,team1,3,0.5859840512275696,39.163875579833984,0.885
7,team1,4,-0.5718681216239929,39.11092758178711,0.837
7,team1,6,-0.026647353544831276,38.559913635253906,0.066
7,team1,7,0.1562042087316513,36.981109619140625,1.527
8,team0,0,0.054528430104255676,38.5778694152832,0.095
8,team0,1,0.6041303873062134,37.995079040527344,0.787
8,team0,2,-0.43100443482398987,37.94602966308594,0.702
8,team0,3,-0.16086888313293457,38.090389251708984,0.44
8,team0,4,-0.06358212232589722,37.80569839477539,0.697
8,team0,5,1.3228646516799927,38.07622528076172,1.389
8,team0,6,-0.662780225276947,37.311641693115234,1.361
8,team0,7,-0.14736942946910858,36.90453338623047,1.602
8,team1,0,-0.6152019500732422,39.40049362182617,1.091
8,team1,1,-0.5913527011871338,39.04092025756836,0.801
8,team1,2,0.5227178335189819,38.804901123046875,0.605
8,team1,3,0.42288362979888916,38.29290771484375,0.471
8,team1,4,-0.3172605335712433,37.52225875854492,1.028
8,team1,5,0.1731700748205185,37.504974365234375,1.01
8,team1,6,0.6929934620857239,36.94633483886719,1.701
8,team1,7,0.32644450664520264,36.086578369140625,2.435
9,team1,2,0.6007208824157715,38.10688781738281,0.718
9,team1,4,0.5054981112480164,37.804744720458984,0.86
9,team1,6,-0.6909817457199097,37.930076599121094,0.896
9,team1,7,0.43169060349464417,36.731605529785156,1.82
