TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team0, x=-0.11964403837919235, y=38.71417236328125, dist=0.245
End 1: team=team1, x=0.48933106660842896, y=37.9578971862793, dist=0.73
End 2: team=team0, x=-0.08156738430261612, y=38.41461944580078, dist=0.118
End 3: team=team1, x=-0.10668325424194336, y=38.385009765625, dist=0.157
End 4: team=team0, x=0.3436943590641022, y=38.12778091430664, dist=0.507
End 5: team=team1, x=-0.11247973144054413, y=38.66084289550781, dist=0.196
End 6: team=team1, x=-0.2055988907814026, y=38.2461051940918, dist=0.327
End 7: team=team1, x=-0.026647353544831276, y=38.559913635253906, dist=0.066
End 8: team=team0, x=0.054528430104255676, y=38.5778694152832, dist=0.095
End 9: team=team1, x=0.6007208824157715, y=38.10688781738281, dist=0.718
