ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x,final_y,class,trajectory_file
2026-02-26T13:07:01.907,0,1,2.406931,15.707963,0.056661,3.25,14.418902,14.418902,0.793995,draw,trajectories\traj_000.csv
2026-02-26T13:07:02.020,0,3,2.402776,15.707963,0.053408,3.06,14.396092,14.396092,0.792597,draw,trajectories\traj_001.csv
2026-02-26T13:07:02.130,0,5,2.401682,15.707963,0.058894,3.37,14.385104,14.385104,0.792236,draw,trajectories\traj_002.csv
2026-02-26T13:07:02.228,0,7,2.406441,15.707963,0.053227,3.05,14.418193,14.418193,0.793806,draw,trajectories\traj_003.csv
2026-02-26T13:07:02.366,0,9,2.401296,15.707963,0.056365,3.23,14.384889,14.384889,0.792109,draw,trajectories\traj_004.csv
2026-02-26T13:07:02.485,0,11,2.400356,15.707963,0.054467,3.12,14.380775,14.380775,0.791799,draw,trajectories\traj_005.csv
2026-02-26T13:07:02.602,0,13,2.394820,15.707963,0.058167,3.33,14.344615,14.344615,0.789972,draw,trajectories\traj_006.csv
2026-02-26T13:07:02.714,0,15,2.400326,15.707963,0.056519,3.24,14.378952,14.378952,0.791788,draw,trajectories\traj_007.csv
2026-02-26T13:07:02.861,1,1,2.402018,15.707963,0.055409,3.17,14.389986,14.389986,0.792347,draw,trajectories\traj_008.csv
2026-02-26T13:07:02.975,1,3,2.414236,15.707963,0.053423,3.06,14.465245,14.465245,0.796405,draw,trajectories\traj_009.csv
2026-02-26T13:07:03.159,1,5,2.418592,15.707963,0.053226,3.05,14.491498,14.491498,0.797842,draw,trajectories\traj_010.csv
2026-02-26T13:07:03.291,1,7,2.403656,15.707963,0.053010,3.04,14.401675,14.401675,0.792887,draw,trajectories\traj_011.csv
2026-02-26T13:07:03.395,1,9,2.406109,15.707963,0.049242,2.82,14.419150,14.419150,0.793696,draw,trajectories\traj_012.csv
2026-02-26T13:07:03.509,1,11,2.403765,15.707963,0.052747,3.02,14.402526,14.402526,0.792923,draw,trajectories\traj_013.csv
2026-02-26T13:07:03.613,1,13,2.391823,15.707963,0.058869,3.37,14.326076,14.326076,0.788984,draw,trajectories\traj_014.csv
2026-02-26T13:07:03.801,1,15,2.400638,15.707963,0.057179,3.28,14.380283,14.380283,0.791892,draw,trajectories\traj_015.csv
2026-02-26T13:07:03.944,2,1,2.393503,15.707963,0.057460,3.29,14.337314,14.337314,0.789538,draw,trajectories\traj_016.csv
2026-02-26T13:07:04.061,2,3,2.396704,15.707963,0.058090,3.33,14.355966,14.355966,0.790594,draw,trajectories\traj_017.csv
2026-02-26T13:07:04.239,2,5,2.407272,15.707963,0.054453,3.12,14.422720,14.422720,0.794107,draw,trajectories\traj_018.csv
2026-02-26T13:07:04.374,2,7,2.407414,15.707963,0.053881,3.09,14.424018,14.424018,0.794154,draw,trajectories\traj_019.csv
2026-02-26T13:07:04.477,2,9,2.393319,15.707963,0.053314,3.05,14.339505,14.339505,0.789477,draw,trajectories\traj_020.csv
2026-02-26T13:07:04.612,2,11,2.407397,15.707963,0.054653,3.13,14.423308,14.423308,0.794149,draw,trajectories\traj_021.csv
2026-02-26T13:07:04.727,2,13,2.408822,15.707963,0.054190,3.10,14.432211,14.432211,0.794619,draw,trajectories\traj_022.csv
2026-02-26T13:07:04.841,2,15,2.404163,15.707963,0.055747,3.19,14.402563,14.402563,0.793054,draw,trajectories\traj_023.csv
2026-02-26T13:07:06.044,3,1,2.405872,15.707963,0.052541,3.01,14.415306,14.415306,0.793618,draw,trajectories\traj_024.csv
2026-02-26T13:07:06.183,3,3,2.405675,15.707963,0.054393,3.12,14.412701,14.412701,0.793553,draw,trajectories\traj_025.csv
2026-02-26T13:07:06.306,3,5,2.402255,15.707963,0.054376,3.12,14.392220,14.392220,0.792425,draw,trajectories\traj_026.csv
2026-02-26T13:07:06.443,3,7,2.392392,15.707963,0.055871,3.20,14.331950,14.331950,0.789172,draw,trajectories\traj_027.csv
2026-02-26T13:07:06.646,3,9,2.410047,15.707963,0.057542,3.30,14.436842,14.436842,0.795023,draw,trajectories\traj_028.csv
2026-02-26T13:07:06.776,3,11,2.404536,15.707963,0.055761,3.19,14.404790,14.404790,0.793178,draw,trajectories\traj_029.csv
2026-02-26T13:07:06.945,3,13,2.400764,15.707963,0.051836,2.97,14.385231,14.385231,0.791933,draw,trajectories\traj_030.csv
2026-02-26T13:07:07.082,3,15,2.405893,15.707963,0.054193,3.11,14.414161,14.414161,0.793625,draw,trajectories\traj_031.csv
2026-02-26T13:07:07.247,4,1,2.386820,15.707963,0.056219,3.22,14.298291,14.298291,0.787333,draw,trajectories\traj_032.csv
2026-02-26T13:07:07.382,4,3,2.418438,15.707963,0.056084,3.21,14.488311,14.488311,0.797791,draw,trajectories\traj_033.csv
2026-02-26T13:07:07.576,4,5,2.404235,15.707963,0.057546,3.30,14.401526,14.401526,0.793078,draw,trajectories\traj_034.csv
2026-02-26T13:07:07.722,4,7,2.400182,15.707963,0.054494,3.12,14.379707,14.379707,0.791741,draw,trajectories\traj_035.csv
2026-02-26T13:07:07.848,4,9,2.398951,15.707963,0.055266,3.17,14.371725,14.371725,0.791335,draw,trajectories\traj_036.csv
2026-02-26T13:07:07.973,4,11,2.407236,15.707963,0.055317,3.17,14.421821,14.421821,0.794096,draw,trajectories\traj_037.csv
2026-02-26T13:07:08.099,4,13,2.405924,15.707963,0.054432,3.12,14.414159,14.414159,0.793635,draw,trajectories\traj_038.csv
2026-02-26T13:07:08.222,4,15,2.410540,15.707963,0.055412,3.17,14.441534,14.441534,0.795185,draw,trajectories\traj_039.csv
2026-02-26T13:07:08.362,5,1,2.399991,15.707963,0.052912,3.03,14.379787,14.379787,0.791678,draw,trajectories\traj_040.csv
2026-02-26T13:07:08.488,5,3,2.400527,15.707963,0.057525,3.30,14.379330,14.379330,0.791855,draw,trajectories\traj_041.csv
2026-02-26T13:07:08.604,5,5,2.398376,15.707963,0.055510,3.18,14.368088,14.368088,0.791145,draw,trajectories\traj_042.csv
2026-02-26T13:07:08.712,5,7,2.402591,15.707963,0.052441,3.00,14.395726,14.395726,0.792536,draw,trajectories\traj_043.csv
2026-02-26T13:07:08.814,5,9,2.403771,15.707963,0.052030,2.98,14.403102,14.403102,0.792925,draw,trajectories\traj_044.csv
2026-02-26T13:07:08.916,5,11,2.402928,15.707963,0.057582,3.30,14.393668,14.393668,0.792647,draw,trajectories\traj_045.csv
2026-02-26T13:07:09.027,5,13,2.407793,15.707963,0.098935,5.67,14.376603,14.376603,0.794279,draw,trajectories\traj_046.csv
2026-02-26T13:07:09.130,5,15,2.415624,15.707963,0.096389,5.52,14.426961,14.426961,0.796862,draw,trajectories\traj_047.csv
2026-02-26T13:07:09.255,6,1,2.393273,15.707963,0.054379,3.12,14.338404,14.338404,0.789462,draw,trajectories\traj_048.csv
2026-02-26T13:07:09.356,6,3,2.421450,15.707963,0.054820,3.14,14.507373,14.507373,0.798784,hit,trajectories\traj_049.csv
2026-02-26T13:07:09.460,6,5,2.405674,15.707963,0.051817,2.97,14.414665,14.414665,0.793553,draw,trajectories\traj_050.csv
2026-02-26T13:07:09.563,6,7,2.407727,15.707963,0.052788,3.02,14.426736,14.426736,0.794258,draw,trajectories\traj_051.csv
2026-02-26T13:07:09.674,6,9,2.392739,15.707963,0.053473,3.06,14.335909,14.335909,0.789286,draw,trajectories\traj_052.csv
2026-02-26T13:07:09.802,6,11,2.400688,15.707963,0.058867,3.37,14.379176,14.379176,0.791908,draw,trajectories\traj_053.csv
2026-02-26T13:07:09.908,6,13,2.403071,15.707963,0.053310,3.05,14.397935,14.397935,0.792694,draw,trajectories\traj_054.csv
2026-02-26T13:07:10.013,6,15,2.394143,15.707963,0.055778,3.20,14.342514,14.342514,0.789749,draw,trajectories\traj_055.csv
2026-02-26T13:07:10.218,7,1,2.395416,15.707963,0.055428,3.18,14.350421,14.350421,0.790169,draw,trajectories\traj_056.csv
2026-02-26T13:07:10.345,7,3,2.417750,15.707963,0.052287,3.00,14.487173,14.487173,0.797564,draw,trajectories\traj_057.csv
2026-02-26T13:07:10.544,7,5,2.397300,15.707963,0.057838,3.31,14.359741,14.359741,0.790790,draw,trajectories\traj_058.csv
2026-02-26T13:07:10.707,7,7,2.413888,15.707963,0.051880,2.97,14.464336,14.464336,0.796290,draw,trajectories\traj_059.csv
2026-02-26T13:07:10.826,7,9,2.392412,15.707963,0.053876,3.09,14.333639,14.333639,0.789178,draw,trajectories\traj_060.csv
2026-02-26T13:07:10.960,7,11,2.409978,15.707963,0.056808,3.25,14.437037,14.437037,0.795000,draw,trajectories\traj_061.csv
2026-02-26T13:07:11.108,7,13,2.402743,15.707963,0.057609,3.30,14.392536,14.392536,0.792586,draw,trajectories\traj_062.csv
2026-02-26T13:07:11.226,7,15,2.394713,15.707963,0.055175,3.16,14.346409,14.346409,0.789937,draw,trajectories\traj_063.csv
2026-02-26T13:07:11.377,8,1,2.399586,15.707963,0.055391,3.17,14.375427,14.375427,0.791544,draw,trajectories\traj_064.csv
2026-02-26T13:07:11.496,8,3,2.417694,15.707963,0.054005,3.09,14.485510,14.485510,0.797545,draw,trajectories\traj_065.csv
2026-02-26T13:07:11.623,8,5,2.405722,15.707963,0.055438,3.18,14.412154,14.412154,0.793569,draw,trajectories\traj_066.csv
2026-02-26T13:07:11.739,8,7,2.413872,15.707963,0.053553,3.07,14.462967,14.462967,0.796285,draw,trajectories\traj_067.csv
2026-02-26T13:07:11.868,8,9,2.407035,15.707963,0.055302,3.17,14.420626,14.420626,0.794029,draw,trajectories\traj_068.csv
2026-02-26T13:07:12.057,8,11,2.403423,15.707963,0.054020,3.10,14.399498,14.399498,0.792810,draw,trajectories\traj_069.csv
2026-02-26T13:07:12.171,8,13,2.405449,15.707963,0.054880,3.14,14.410960,14.410960,0.793479,draw,trajectories\traj_070.csv
2026-02-26T13:07:12.309,8,15,2.399774,15.707963,0.056478,3.24,14.375678,14.375678,0.791606,draw,trajectories\traj_071.csv
2026-02-26T13:07:12.488,9,1,2.415737,15.707963,0.053243,3.05,14.474377,14.474377,0.796900,draw,trajectories\traj_072.csv
2026-02-26T13:07:12.606,9,3,2.415860,15.707963,0.053594,3.07,14.474846,14.474846,0.796940,draw,trajectories\traj_073.csv
2026-02-26T13:07:12.716,9,5,2.410357,15.707963,0.057316,3.28,14.438891,14.438891,0.795125,draw,trajectories\traj_074.csv
2026-02-26T13:07:12.848,9,7,2.408276,15.707963,0.055686,3.19,14.427755,14.427755,0.794439,draw,trajectories\traj_075.csv
2026-02-26T13:07:12.977,9,9,2.399057,15.707963,0.052043,2.98,14.374851,14.374851,0.791370,draw,trajectories\traj_076.csv
2026-02-26T13:07:13.217,9,11,2.401993,15.707963,0.056347,3.23,14.389082,14.389082,0.792339,draw,trajectories\traj_077.csv
