x,y
0.000000,0.000000
-0.000002,0.002410
-0.000004,0.004821
-0.000005,0.007231
-0.000007,0.009641
-0.000009,0.012051
-0.000011,0.014461
-0.000013,0.016871
-0.000015,0.019281
-0.000016,0.021691
-0.000018,0.024101
-0.000020,0.026510
-0.000022,0.028920
-0.000024,0.031330
-0.000026,0.033739
-0.000028,0.036149
-0.000030,0.038558
-0.000032,0.040967
-0.000034,0.043376
-0.000036,0.045786
-0.000038,0.048195
-0.000040,0.050604
-0.000042,0.053013
-0.000044,0.055421
-0.000046,0.057830
-0.000048,0.060239
-0.000050,0.062648
-0.000052,0.065056
-0.000054,0.067465
-0.000056,0.069873
-0.000058,0.072282
-0.000060,0.074690
-0.000062,0.077098
-0.000064,0.079506
-0.000066,0.081914
-0.000068,0.084322
-0.000071,0.086730
-0.000073,0.089138
-0.000075,0.091546
-0.000077,0.093954
-0.000079,0.096361
-0.000081,0.098769
-0.000084,0.101177
-0.000086,0.103584
-0.000088,0.105992
-0.000090,0.108399
-0.000092,0.110806
-0.000095,0.113213
-0.000097,0.115620
-0.000099,0.118028
-0.000101,0.120435
-0.000104,0.122841
-0.000106,0.125248
-0.000108,0.127655
-0.000111,0.130062
-0.000113,0.132468
-0.000115,0.134875
-0.000118,0.137282
-0.000120,0.139688
-0.000122,0.142094
-0.000125,0.144501
-0.000127,0.146907
-0.000129,0.149313
-0.000132,0.151719
-0.000134,0.154125
-0.000137,0.156531
-0.000139,0.158937
-0.000142,0.161343
-0.000144,0.163748
-0.000146,0.166154
-0.000149,0.168560
-0.000151,0.170965
-0.000154,0.173371
-0.000156,0.175776
-0.000159,0.178181
-0.000161,0.180587
-0.000164,0.182992
-0.000166,0.185397
-0.000169,0.187802
-0.000171,0.190207
-0.000174,0.192612
-0.000177,0.195017
-0.000179,0.197422
-0.000182,0.199826
-0.000184,0.202231
-0.000187,0.204635
-0.000190,0.207040
-0.000192,0.209444
-0.000195,0.211849
-0.000198,0.214253
-0.000200,0.216657
-0.000203,0.219061
-0.000206,0.221465
-0.000208,0.223869
-0.000211,0.226273
-0.000214,0.228677
-0.000216,0.231081
-0.000219,0.233485
-0.000222,0.235888
-0.000225,0.238292
-0.000227,0.240696
-0.000230,0.243099
-0.000233,0.245502
-0.000236,0.247906
-0.000238,0.250309
-0.000241,0.252712
-0.000244,0.255115
-0.000247,0.257518
-0.000250,0.259921
-0.000252,0.262324
-0.000255,0.264727
-0.000258,0.267130
-0.000261,0.269532
-0.000264,0.271935
-0.000267,0.274338
-0.000270,0.276740
-0.000273,0.279142
-0.000276,0.281545
-0.000278,0.283947
-0.000281,0.286349
-0.000284,0.288751
-0.000287,0.291153
-0.000290,0.293555
-0.000293,0.295957
-0.000296,0.298359
-0.000299,0.300761
-0.000302,0.303163
-0.000305,0.305564
-0.000308,0.307966
-0.000311,0.310367
-0.000314,0.312769
-0.000317,0.315170
-0.000320,0.317572
-0.000324,0.319973
-0.000327,0.322374
-0.000330,0.324775
-0.000333,0.327176
-0.000336,0.329577
-0.000339,0.331978
-0.000342,0.334379
-0.000345,0.336779
-0.000348,0.339180
-0.000352,0.341581
-0.000355,0.343981
-0.000358,0.346382
-0.000361,0.348782
