TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=0.04188833758234978, y=38.746246337890625, dist=0.25
End 1: team=team1, x=0.010362666100263596, y=38.708126068115234, dist=0.208
End 2: team=team1, x=-0.019859859719872475, y=38.34534454345703, dist=0.156
End 3: team=team0, x=0.027066556736826897, y=38.45006561279297, dist=0.057
End 4: team=team0, x=0.05929061770439148, y=38.72085189819336, dist=0.229
End 5: team=team1, x=0.19140052795410156, y=38.40443420410156, dist=0.214
End 6: team=team1, x=-0.1638941764831543, y=38.309844970703125, dist=0.251
End 7: team=team0, x=0.03213110938668251, y=38.44217300415039, dist=0.066
End 8: team=team1, x=-0.044097863137722015, y=38.6758918762207, dist=0.181
End 9: team=team0, x=0.01243999507278204, y=38.46978759765625, dist=0.033
