x,y
0.000000,0.000000
-0.000000,0.002405
-0.000000,0.004810
-0.000000,0.007215
-0.000001,0.009620
-0.000001,0.012025
-0.000001,0.014429
-0.000001,0.016834
-0.000001,0.019239
-0.000001,0.021643
-0.000002,0.024048
-0.000002,0.026452
-0.000002,0.028856
-0.000002,0.031260
-0.000003,0.033665
-0.000003,0.036069
-0.000003,0.038473
-0.000003,0.040877
-0.000004,0.043281
-0.000004,0.045684
-0.000004,0.048088
-0.000005,0.050492
-0.000005,0.052895
-0.000005,0.055299
-0.000006,0.057702
-0.000006,0.060106
-0.000006,0.062509
-0.000007,0.064912
-0.000007,0.067316
-0.000007,0.069719
-0.000008,0.072122
-0.000008,0.074525
-0.000009,0.076928
-0.000009,0.079331
-0.000010,0.081733
-0.000010,0.084136
-0.000010,0.086539
-0.000011,0.088941
-0.000011,0.091344
-0.000012,0.093746
-0.000012,0.096149
-0.000013,0.098551
-0.000013,0.100953
-0.000014,0.103355
-0.000015,0.105757
-0.000015,0.108159
-0.000016,0.110561
-0.000016,0.112963
-0.000017,0.115365
-0.000017,0.117767
-0.000018,0.120168
-0.000019,0.122570
-0.000019,0.124971
-0.000020,0.127373
-0.000020,0.129774
-0.000021,0.132176
-0.000022,0.134577
-0.000022,0.136978
-0.000023,0.139379
-0.000024,0.141780
-0.000024,0.144181
-0.000025,0.146582
-0.000026,0.148983
-0.000027,0.151384
-0.000027,0.153784
-0.000028,0.156185
-0.000029,0.158586
-0.000030,0.160986
-0.000030,0.163386
-0.000031,0.165787
-0.000032,0.168187
-0.000033,0.170587
-0.000034,0.172987
-0.000034,0.175388
-0.000035,0.177788
-0.000036,0.180187
-0.000037,0.182587
-0.000038,0.184987
-0.000039,0.187387
-0.000040,0.189786
-0.000040,0.192186
-0.000041,0.194586
-0.000042,0.196985
-0.000043,0.199384
-0.000044,0.201784
-0.000045,0.204183
-0.000046,0.206582
-0.000047,0.208981
-0.000048,0.211380
-0.000049,0.213779
-0.000050,0.216178
-0.000051,0.218577
-0.000052,0.220976
-0.000053,0.223374
-0.000054,0.225773
-0.000055,0.228172
-0.000056,0.230570
-0.000057,0.232968
-0.000058,0.235367
-0.000059,0.237765
-0.000060,0.240163
-0.000061,0.242561
-0.000062,0.244959
-0.000064,0.247357
-0.000065,0.249755
-0.000066,0.252153
-0.000067,0.254551
-0.000068,0.256949
-0.000069,0.259346
-0.000070,0.261744
-0.000072,0.264141
-0.000073,0.266539
-0.000074,0.268936
-0.000075,0.271333
-0.000076,0.273731
-0.000078,0.276128
-0.000079,0.278525
-0.000080,0.280922
-0.000081,0.283319
-0.000083,0.285716
-0.000084,0.288113
-0.000085,0.290509
-0.000087,0.292906
-0.000088,0.295303
-0.000089,0.297699
-0.000091,0.300096
-0.000092,0.302492
-0.000093,0.304888
-0.000095,0.307284
-0.000096,0.309681
-0.000097,0.312077
-0.000099,0.314473
-0.000100,0.316869
-0.000102,0.319265
-0.000103,0.321661
-0.000104,0.324056
-0.000106,0.326452
-0.000107,0.328848
-0.000109,0.331243
-0.000110,0.333639
-0.000112,0.336034
-0.000113,0.338429
-0.000115,0.340825
-0.000116,0.343220
-0.000118,0.345615
-0.000119,0.348010
-0.000121,0.350405
-0.000122,0.352800
-0.000124,0.355195
-0.000125,0.357590
-0.000127,0.359984
-0.000129,0.362379
-0.000130,0.364774
-0.000132,0.367168
-0.000133,0.369563
-0.000135,0.371957
-0.000137,0.374351
-0.000138,0.376746
-0.000140,0.379140
-0.000142,0.381534
-0.000143,0.383928
-0.000145,0.386322
-0.000147,0.388716
-0.000148,0.391110
-0.000150,0.393503
-0.000152,0.395897
-0.000153,0.398291
-0.000155,0.400684
-0.000157,0.403078
-0.000159,0.405471
-0.000160,0.407864
-0.000162,0.410258
-0.000164,0.412651
-0.000166,0.415044
-0.000168,0.417437
-0.000169,0.419830
-0.000171,0.422223
-0.000173,0.424616
-0.000175,0.427009
-0.000177,0.429401
-0.000179,0.431794
-0.000180,0.434186
-0.000182,0.436579
-0.000184,0.438971
-0.000186,0.441364
-0.000188,0.443756
-0.000190,0.446148
-0.000192,0.448540
-0.000194,0.450932
-0.000196,0.453324
-0.000198,0.455716
-0.000200,0.458108
-0.000202,0.460500
-0.000204,0.462892
-0.000206,0.465284
-0.000208,0.467675
-0.000210,0.470067
-0.000212,0.472458
-0.000214,0.474850
-0.000216,0.477241
-0.000218,0.479632
-0.000220,0.482023
-0.000222,0.484414
-0.000224,0.486805
-0.000226,0.489196
-0.000228,0.491587
-0.000230,0.493978
-0.000233,0.496369
-0.000235,0.498760
-0.000237,0.501150
-0.000239,0.503541
-0.000241,0.505931
-0.000243,0.508322
-0.000246,0.510712
-0.000248,0.513102
-0.000250,0.515493
-0.000252,0.517883
-0.000254,0.520273
-0.000257,0.522663
-0.000259,0.525053
-0.000261,0.527443
-0.000263,0.529832
-0.000266,0.532222
-0.000268,0.534612
-0.000270,0.537001
-0.000273,0.539391
-0.000275,0.541780
-0.000277,0.544170
-0.000279,0.546559
-0.000282,0.548948
-0.000284,0.551337
-0.000287,0.553726
-0.000289,0.556115
-0.000291,0.558504
-0.000294,0.560893
-0.000296,0.563282
-0.000298,0.565671
-0.000301,0.568060
-0.000303,0.570448
-0.000306,0.572837
-0.000308,0.575225
-0.000311,0.577614
-0.000313,0.580002
-0.000316,0.582390
-0.000318,0.584778
-0.000321,0.587167
-0.000323,0.589555
-0.000326,0.591943
-0.000328,0.594330
-0.000331,0.596718
-0.000333,0.599106
-0.000336,0.601494
-0.000338,0.603881
-0.000341,0.606269
-0.000343,0.608657
-0.000346,0.611044
-0.000349,0.613431
-0.000351,0.615819
-0.000354,0.618206
-0.000356,0.620593
-0.000359,0.622980
-0.000362,0.625367
-0.000364,0.627754
-0.000367,0.630141
-0.000370,0.632528
-0.000372,0.634914
-0.000375,0.637301
-0.000378,0.639688
-0.000381,0.642074
-0.000383,0.644461
-0.000386,0.646847
-0.000389,0.649233
-0.000392,0.651620
-0.000394,0.654006
-0.000397,0.656392
-0.000400,0.658778
-0.000403,0.661164
-0.000405,0.663550
-0.000408,0.665936
-0.000411,0.668321
-0.000414,0.670707
-0.000417,0.673093
-0.000420,0.675478
-0.000422,0.677864
-0.000425,0.680249
-0.000428,0.682635
-0.000431,0.685020
-0.000434,0.687405
-0.000437,0.689790
-0.000440,0.692175
-0.000443,0.694560
-0.000446,0.696945
-0.000449,0.699330
-0.000452,0.701715
-0.000455,0.704100
-0.000458,0.706484
-0.000461,0.708869
-0.000464,0.711253
-0.000467,0.713638
-0.000470,0.716022
-0.000473,0.718406
-0.000476,0.720791
-0.000479,0.723175
-0.000482,0.725559
-0.000485,0.727943
-0.000488,0.730327
-0.000491,0.732711
-0.000494,0.735095
-0.000497,0.737478
-0.000500,0.739862
-0.000503,0.742246
-0.000507,0.744629
-0.000510,0.747013
-0.000513,0.749396
-0.000516,0.751779
-0.000519,0.754163
-0.000522,0.756546
-0.000525,0.758929
-0.000529,0.761312
-0.000532,0.763695
-0.000535,0.766078
-0.000538,0.768461
-0.000542,0.770844
-0.000545,0.773226
-0.000548,0.775609
-0.000551,0.777991
-0.000555,0.780374
-0.000558,0.782756
-0.000561,0.785139
-0.000565,0.787521
-0.000568,0.789903
-0.000571,0.792285
-0.000575,0.794668
-0.000578,0.797050
-0.000581,0.799431
-0.000585,0.801813
-0.000588,0.804195
-0.000591,0.806577
-0.000595,0.808959
-0.000598,0.811340
-0.000602,0.813722
-0.000605,0.816103
-0.000608,0.818484
-0.000612,0.820866
-0.000615,0.823247
-0.000619,0.825628
-0.000622,0.828009
-0.000626,0.830390
-0.000629,0.832771
-0.000633,0.835152
-0.000636,0.837533
-0.000640,0.839914
-0.000643,0.842295
-0.000647,0.844675
-0.000650,0.847056
-0.000654,0.849436
-0.000657,0.851817
-0.000661,0.854197
-0.000665,0.856577
-0.000668,0.858957
-0.000672,0.861338
-0.000675,0.863718
-0.000679,0.866098
-0.000683,0.868478
-0.000686,0.870857
-0.000690,0.873237
-0.000694,0.875617
-0.000697,0.877997
-0.000701,0.880376
-0.000705,0.882756
-0.000708,0.885135
-0.000712,0.887514
-0.000716,0.889894
-0.000720,0.892273
-0.000723,0.894652
-0.000727,0.897031
-0.000731,0.899410
-0.000735,0.901789
-0.000738,0.904168
-0.000742,0.906547
-0.000746,0.908926
-0.000750,0.911304
-0.000754,0.913683
-0.000757,0.916062
-0.000761,0.918440
-0.000765,0.920818
-0.000769,0.923197
-0.000773,0.925575
-0.000777,0.927953
-0.000781,0.930331
-0.000784,0.932709
-0.000788,0.935087
-0.000792,0.937465
-0.000796,0.939843
-0.000800,0.942221
-0.000804,0.944599
-0.000808,0.946976
-0.000812,0.949354
-0.000816,0.951731
-0.000820,0.954109
-0.000824,0.956486
-0.000828,0.958863
-0.000832,0.961240
-0.000836,0.963618
-0.000840,0.965995
-0.000844,0.968372
-0.000848,0.970749
-0.000852,0.973126
-0.000856,0.975502
-0.000860,0.977879
-0.000864,0.980256
-0.000868,0.982632
-0.000873,0.985009
-0.000877,0.987385
-0.000881,0.989762
-0.000885,0.992138
-0.000889,0.994514
-0.000893,0.996890
-0.000897,0.999267
-0.000902,1.001643
-0.000906,1.004019
-0.000910,1.006394
-0.000914,1.008770
-0.000918,1.011146
-0.000923,1.013522
-0.000927,1.015897
-0.000931,1.018273
-0.000935,1.020648
-0.000940,1.023024
-0.000944,1.025399
-0.000948,1.027774
-0.000952,1.030150
-0.000957,1.032525
-0.000961,1.034900
-0.000965,1.037275
-0.000970,1.039650
-0.000974,1.042024
-0.000978,1.044399
-0.000983,1.046774
-0.000987,1.049149
-0.000991,1.051523
