TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=0.0842241644859314, y=38.5543212890625, dist=0.1
End 1: team=team0, x=-0.1941222846508026, y=38.207733154296875, dist=0.351
End 2: team=team1, x=-0.03511727228760719, y=38.287166595458984, dist=0.216
End 3: team=team0, x=-0.07009100168943405, y=38.60526657104492, dist=0.126
End 4: team=team1, x=-0.10266172140836716, y=38.609134674072266, dist=0.15
End 5: team=team0, x=-0.1619977504014969, y=38.37080001831055, dist=0.207
End 6: team=team0, x=0.06543268263339996, y=38.75326919555664, dist=0.262
End 7: team=team1, x=-0.03695991635322571, y=38.78020477294922, dist=0.283
End 8: team=team1, x=-0.007898781448602676, y=38.29542922973633, dist=0.205
End 9: team=team1, x=0.16178591549396515, y=38.42409133911133, dist=0.179
