end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
0,1,0,team0,1,0,2.411786205847207,-15.707963267948966,1.5176585289189932
0,2,1,team1,1,1,2.4086222438320424,-1.570796327,1.5177753981349322
0,3,1,team0,1,1,4.005776396133425,1e-06,1.5736520400970964
0,4,2,team1,1,2,2.388888629084292,-1.570796327,1.5176063171546605
0,5,2,team0,1,2,4.012356343270483,1e-06,1.5743708463578918
0,6,3,team1,1,3,2.3912433289594888,-1.570796327,1.5182177509352655
0,7,3,team0,1,3,3.9869366447518986,1e-06,1.572084900828197
0,8,4,team1,1,4,2.406919754057166,-1.570796327,1.5159913221272385
0,9,4,team0,1,2,3.996780535060218,1e-06,1.5734589920955333
0,10,5,team1,1,3,2.3949427277465194,-1.570796327,1.517298757183363
0,11,5,team0,1,3,3.9982820258840683,1e-06,1.5725228321006544
0,12,6,team1,1,4,2.39497322207399,-1.570796327,1.517087235512944
0,13,6,team0,0,3,3.9993640016954743,-1e-06,1.5705687697332347
0,14,7,team1,0,4,2.391022476212196,-1.570796327,1.5159159740659602
0,15,7,team0,1,3,3.9978156686683777,-1e-06,1.5670826737480517
0,16,8,team1,1,4,2.385036122666212,-1.570796327,1.515156085848354
1,1,0,team0,1,0,2.399427485453361,-15.707963267948966,1.517812593389994
1,2,1,team1,1,1,2.3994414963713555,-1.570796327,1.5146535214503487
1,3,1,team0,2,1,2.4177432251530195,15.707963267948966,1.6309813407534646
1,4,2,team1,2,2,2.402177402741276,-1.570796327,1.5149840083526547
1,5,2,team0,2,2,4.0095954029560525,-1e-06,1.5669060221421889
1,6,3,team1,2,3,2.397176903236184,-1.570796327,1.5165022664162424
1,7,3,team0,2,3,4.000027254673931,-1e-06,1.5655412950823235
1,8,4,team1,2,4,2.398337576622006,-1.570796327,1.5140615100540789
1,9,4,team0,3,3,4.022423741253473,-1e-06,1.564998655052754
1,10,5,team1,3,4,2.3937818348006203,-1.570796327,1.5161584485535438
1,11,5,team0,2,2,3.998500509013593,-1e-06,1.5717302098591948
1,12,6,team1,2,3,2.4144342250124837,-1.570796327,1.5185359112455439
1,13,6,team0,3,3,2.388655797250304,-15.707963267948966,1.502514961780939
1,14,7,team1,3,4,2.388603459372442,-1.570796327,1.5137592646000557
1,15,7,team0,4,4,2.394491348752901,-15.707963267948966,1.503483045349933
1,16,8,team1,4,5,2.414881164228647,-1.570796327,1.516680281107271
2,1,0,team0,1,0,2.4040787501986447,-15.707963267948966,1.5149857104705649
2,2,1,team1,1,1,2.402308390130071,-1.570796327,1.5166533726400484
2,3,1,team0,2,1,2.4021337682324058,-15.707963267948966,1.5152050890253594
2,4,2,team1,2,2,2.4052656329627644,-1.570796327,1.515880571572171
2,5,2,team0,3,2,2.4012628115367063,-15.707963267948966,1.5075985783656158
2,6,3,team1,3,3,2.3902725670360465,-1.570796327,1.516782337648705
2,7,3,team0,4,3,2.3970192217932595,-15.707963267948966,1.5114124499708121
2,8,4,team1,4,4,2.3831293794773822,-1.570796327,1.5162322197114333
2,9,4,team0,5,4,2.4034281401020308,-15.707963267948966,1.5136080334208644
2,10,5,team1,5,5,2.389685474963914,-1.570796327,1.5151622166039243
2,11,5,team0,6,5,2.401815633897956,-15.707963267948966,1.5196102393609487
2,12,6,team1,6,6,2.4004477214469464,-1.570796327,1.5178096062319966
2,13,6,team0,7,6,2.40101699765166,-15.707963267948966,1.5162952825811653
2,14,7,team1,7,7,2.389868579540156,-1.570796327,1.5140488939014496
2,15,7,team0,5,7,4.00144920907373,-1e-06,1.5668174729532742
2,16,8,team1,5,8,2.408383213231941,-1.570796327,1.5160562275318168
3,1,0,team0,1,0,2.39013491608263,-15.707963267948966,1.516913822523174
3,2,1,team1,1,1,2.3978372668401966,-1.570796327,1.5193117842466994
3,3,1,team0,2,1,2.402770859969023,15.707963267948966,1.6282378312700276
3,4,2,team1,2,2,2.396255098723637,-1.570796327,1.5137700484587413
3,5,2,team0,3,2,2.4234132661349954,15.707963267948966,1.6269937055031984
3,6,3,team1,3,3,2.383256932268972,-1.570796327,1.5159829687641397
3,7,3,team0,4,3,2.407411689545978,15.707963267948966,1.6267776918071581
3,8,4,team1,4,4,2.40049335229144,-1.570796327,1.514867070755252
3,9,4,team0,5,4,2.3939677549793377,15.707963267948966,1.630747430651261
3,10,5,team1,5,5,2.395771345830564,-1.570796327,1.516150187609329
3,11,5,team0,6,5,2.384894995246923,15.707963267948966,1.6281271743124766
3,12,6,team1,6,6,2.4093823441165916,-1.570796327,1.5183443893488648
3,13,6,team0,7,6,2.3917652653334187,15.707963267948966,1.6277187165579647
3,14,7,team1,7,7,2.4039890766598586,-1.570796327,1.515526295865743
3,15,7,team0,8,7,2.400691246855426,15.707963267948966,1.6308803642861065
3,16,8,team1,8,8,2.384555991641087,-1.570796327,1.5139383965645759
4,1,0,team1,0,1,2.3959298689482416,-1.570796327,1.5176638276052736
4,2,1,team0,0,1,4.0011547730218195,1e-06,1.571267927973051
4,3,1,team1,0,2,2.403740783719501,-1.570796327,1.51870038862261
4,4,2,team0,0,2,3.9929351136630045,1e-06,1.5750135754874053
4,5,2,team1,0,3,2.3965939553025293,-1.570796327,1.5167520405360528
