idx,ts,shooter,tv,av,sa,team0_house,team1_house,team0_score,team1_score
0,2026-02-25T16:59:59.725,team0,2.426957360109067,1.5707963267948966,1.571587755704973,0,0,,
1,2026-02-25T16:59:59.766,team1,2.4141728518255317,15.707963267948966,0.05666592834322844,0,0,,
2,2026-02-25T16:59:59.847,team0,2.422686730661114,1.5707963267948966,1.573170795133263,0,0,,
3,2026-02-25T16:59:59.887,team1,2.427576680276375,15.707963267948966,0.055414853404370794,0,0,,
4,2026-02-25T16:59:59.961,team0,2.4187892789093945,1.5707963267948966,1.5708184270257788,0,0,,
5,2026-02-25T17:00:00.002,team1,2.3952562545735003,15.707963267948966,0.05198634041783958,0,0,,
6,2026-02-25T17:00:00.081,team0,2.4192728806656683,1.5707963267948966,1.5711354298925806,0,0,,
7,2026-02-25T17:00:00.127,team1,2.396684585384889,15.707963267948966,0.05400696622336676,0,0,,
8,2026-02-25T17:00:00.210,team0,2.420950349047197,1.5707963267948966,1.5693864370228776,0,0,,
9,2026-02-25T17:00:00.244,team1,2.399186458176451,15.707963267948966,0.056845515907312114,0,0,,
10,2026-02-25T17:00:00.312,team0,2.438283588251773,1.5707963267948966,1.572406232218336,0,0,,
11,2026-02-25T17:00:00.347,team1,2.390351068114149,15.707963267948966,0.050765908000896816,0,0,,
12,2026-02-25T17:00:00.417,team0,2.415346441030128,1.5707963267948966,1.5698258827416254,0,0,,
13,2026-02-25T17:00:00.456,team1,2.408434562355098,15.707963267948966,0.05461880883420747,0,0,,
14,2026-02-25T17:00:00.521,team0,2.424143836371065,1.5707963267948966,1.5682058954050204,0,0,,
15,2026-02-25T17:00:00.574,unknown,2.402057769365496,15.707963267948966,0.056440599653487966,0,0,,
16,2026-02-25T17:00:00.616,team1,2.4033286976933774,15.707963267948966,0.05488695347761598,0,0,,
17,2026-02-25T17:00:00.683,team0,2.421390907629412,1.5707963267948966,1.571614322331807,0,0,,
18,2026-02-25T17:00:00.714,team1,2.418132482134542,15.707963267948966,0.053138668198219365,0,0,,
19,2026-02-25T17:00:00.832,team0,2.4198339431437557,1.5707963267948966,1.5734659098812018,0,0,,
20,2026-02-25T17:00:00.866,team1,2.4156610081242853,15.707963267948966,0.05666272739266027,0,0,,
21,2026-02-25T17:00:00.947,team0,2.418242394041971,1.5707963267948966,1.5677153519731686,0,0,,
22,2026-02-25T17:00:00.983,team1,2.405556870495576,15.707963267948966,0.058380087495495045,0,0,,
