shot,timestamp,tx,ty,matched_x,matched_y,v,angle,omega,outcome,note
5,2026-02-25T10:11:36.599000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:36.708000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:36.812000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:36.921000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:37.039000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:37.140000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:37.281000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:37.382000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:37.496000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:37.600000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:37.710000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:37.806000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:37.915000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:38.010000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:38.108000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:38.210000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:38.341000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:38.447000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:38.541000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:38.642000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:11:38.762000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
2,2026-02-25T10:11:38.861000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
3,2026-02-25T10:11:38.961000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
4,2026-02-25T10:11:39.062000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
5,2026-02-25T10:11:39.158000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
6,2026-02-25T10:11:39.269000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
7,2026-02-25T10:11:39.369000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
8,2026-02-25T10:11:39.464000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,アウト/消滅(Out),
1,2026-02-25T10:57:04.911000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:05.043000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:05.112000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:05.183000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:05.250000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:05.360000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:05.434000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:05.501000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:05.584000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:05.654000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:05.722000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:05.795000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:05.863000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:05.936000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:06.004000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:06.072000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:06.154000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:06.219000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:06.288000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:06.354000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:06.436000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:06.512000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:06.591000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:06.661000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:06.744000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:06.811000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:06.876000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:06.942000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:07.010000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:07.100000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:07.173000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:07.240000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:07.323000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:07.391000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:07.458000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:07.527000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:07.592000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:07.660000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:07.763000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:07.834000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:07.913000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:07.984000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:08.054000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:08.121000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:08.187000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:08.252000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
