TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=-0.6758819222450256, y=38.31443786621094, dist=0.701
End 1: team=team0, x=0.23248401284217834, y=38.802303314208984, dist=0.381
End 2: team=team0, x=-0.08487491309642792, y=38.643218994140625, dist=0.166
End 3: team=team1, x=-0.05166267976164818, y=38.58663558959961, dist=0.101
End 4: team=team0, x=0.23591148853302002, y=38.359825134277344, dist=0.274
End 5: team=team1, x=0.4267497956752777, y=38.546573638916016, dist=0.429
End 6: team=team1, x=0.42584720253944397, y=38.44950485229492, dist=0.429
End 7: team=team1, x=-0.02055809274315834, y=38.381004333496094, dist=0.121
End 8: team=team0, x=0.23373261094093323, y=38.2447509765625, dist=0.346
End 9: team=team1, x=-0.15509265661239624, y=38.29310607910156, dist=0.259
