x,y
0.000000,0.000000
0.000141,0.002398
0.000282,0.004796
0.000424,0.007194
0.000565,0.009592
0.000706,0.011990
0.000847,0.014388
0.000989,0.016786
0.001130,0.019183
0.001271,0.021581
0.001412,0.023979
0.001554,0.026376
0.001695,0.028773
0.001836,0.031171
0.001977,0.033568
0.002119,0.035965
0.002260,0.038362
0.002401,0.040759
0.002543,0.043156
0.002684,0.045553
0.002825,0.047950
0.002967,0.050347
0.003108,0.052744
0.003249,0.055140
0.003391,0.057537
0.003532,0.059933
0.003673,0.062330
0.003815,0.064726
0.003956,0.067122
0.004097,0.069519
0.004239,0.071915
0.004380,0.074311
0.004521,0.076707
0.004663,0.079103
0.004804,0.081499
0.004946,0.083894
0.005087,0.086290
0.005228,0.088686
0.005370,0.091081
0.005511,0.093477
0.005653,0.095872
0.005794,0.098268
0.005936,0.100663
0.006077,0.103058
0.006218,0.105453
0.006360,0.107849
0.006501,0.110244
0.006643,0.112639
0.006784,0.115033
0.006926,0.117428
0.007067,0.119823
0.007209,0.122218
0.007350,0.124612
0.007492,0.127007
0.007633,0.129401
0.007775,0.131796
0.007916,0.134190
0.008058,0.136584
0.008199,0.138978
0.008341,0.141373
0.008482,0.143767
0.008624,0.146161
0.008766,0.148554
0.008907,0.150948
0.009049,0.153342
0.009190,0.155736
0.009332,0.158129
0.009473,0.160523
0.009615,0.162916
0.009757,0.165310
0.009898,0.167703
0.010040,0.170097
0.010181,0.172490
0.010323,0.174883
0.010465,0.177276
0.010606,0.179669
0.010748,0.182062
0.010890,0.184455
0.011031,0.186848
0.011173,0.189240
0.011314,0.191633
0.011456,0.194025
0.011598,0.196418
0.011739,0.198810
0.011881,0.201203
0.012023,0.203595
0.012165,0.205987
0.012306,0.208379
0.012448,0.210772
0.012590,0.213164
0.012731,0.215556
0.012873,0.217947
0.013015,0.220339
0.013157,0.222731
0.013298,0.225123
0.013440,0.227514
0.013582,0.229906
0.013723,0.232297
0.013865,0.234689
0.014007,0.237080
0.014149,0.239471
0.014291,0.241862
0.014432,0.244254
0.014574,0.246645
0.014716,0.249036
0.014858,0.251426
0.014999,0.253817
0.015141,0.256208
0.015283,0.258599
0.015425,0.260989
0.015567,0.263380
0.015709,0.265770
0.015850,0.268161
0.015992,0.270551
0.016134,0.272941
0.016276,0.275332
0.016418,0.277722
0.016560,0.280112
0.016702,0.282502
0.016843,0.284892
0.016985,0.287282
0.017127,0.289671
0.017269,0.292061
0.017411,0.294451
0.017553,0.296840
0.017695,0.299230
0.017837,0.301619
0.017979,0.304009
0.018121,0.306398
0.018262,0.308787
0.018404,0.311176
0.018546,0.313565
0.018688,0.315954
0.018830,0.318343
0.018972,0.320732
0.019114,0.323121
0.019256,0.325510
0.019398,0.327898
0.019540,0.330287
0.019682,0.332676
0.019824,0.335064
0.019966,0.337452
0.020108,0.339841
0.020250,0.342229
0.020392,0.344617
0.020534,0.347005
0.020676,0.349393
0.020818,0.351781
0.020960,0.354169
0.021102,0.356557
0.021244,0.358945
0.021386,0.361332
0.021528,0.363720
0.021671,0.366108
0.021813,0.368495
0.021955,0.370882
0.022097,0.373270
0.022239,0.375657
0.022381,0.378044
0.022523,0.380431
0.022665,0.382818
0.022807,0.385205
0.022949,0.387592
0.023091,0.389979
0.023234,0.392366
0.023376,0.394753
0.023518,0.397139
0.023660,0.399526
0.023802,0.401912
0.023944,0.404299
0.024086,0.406685
0.024229,0.409072
0.024371,0.411458
0.024513,0.413844
0.024655,0.416230
0.024797,0.418616
0.024940,0.421002
0.025082,0.423388
0.025224,0.425774
0.025366,0.428159
0.025508,0.430545
0.025651,0.432931
0.025793,0.435316
0.025935,0.437702
0.026077,0.440087
0.026220,0.442472
0.026362,0.444858
0.026504,0.447243
0.026646,0.449628
0.026789,0.452013
0.026931,0.454398
0.027073,0.456783
0.027215,0.459167
0.027358,0.461552
0.027500,0.463937
0.027642,0.466322
0.027785,0.468706
0.027927,0.471091
0.028069,0.473475
0.028212,0.475859
0.028354,0.478244
0.028496,0.480628
0.028639,0.483012
0.028781,0.485396
0.028923,0.487780
0.029066,0.490164
0.029208,0.492548
0.029350,0.494931
0.029493,0.497315
0.029635,0.499699
0.029778,0.502082
0.029920,0.504466
0.030062,0.506849
0.030205,0.509233
0.030347,0.511616
0.030490,0.513999
0.030632,0.516382
0.030774,0.518765
0.030917,0.521148
0.031059,0.523531
0.031202,0.525914
0.031344,0.528297
0.031487,0.530680
0.031629,0.533062
0.031772,0.535445
0.031914,0.537827
0.032056,0.540210
0.032199,0.542592
0.032341,0.544975
0.032484,0.547357
0.032626,0.549739
0.032769,0.552121
0.032911,0.554503
0.033054,0.556885
0.033196,0.559267
0.033339,0.561649
0.033482,0.564030
0.033624,0.566412
0.033767,0.568794
0.033909,0.571175
0.034052,0.573557
0.034194,0.575938
0.034337,0.578319
0.034479,0.580701
0.034622,0.583082
0.034765,0.585463
0.034907,0.587844
0.035050,0.590225
0.035192,0.592606
0.035335,0.594987
0.035478,0.597368
0.035620,0.599748
0.035763,0.602129
0.035905,0.604509
0.036048,0.606890
0.036191,0.609270
0.036333,0.611651
0.036476,0.614031
0.036619,0.616411
