x,y
0.000000,0.000000
0.002402,0.000125
0.004805,0.000251
0.007207,0.000376
0.009609,0.000501
0.012011,0.000626
0.014413,0.000752
0.016815,0.000877
0.019216,0.001002
0.021618,0.001128
0.024020,0.001253
0.026421,0.001378
0.028823,0.001504
0.031224,0.001629
0.033626,0.001754
0.036027,0.001880
0.038428,0.002005
0.040830,0.002131
0.043231,0.002256
0.045632,0.002381
0.048033,0.002507
0.050434,0.002632
0.052834,0.002758
0.055235,0.002883
0.057636,0.003008
0.060036,0.003134
0.062437,0.003259
0.064838,0.003385
0.067238,0.003510
0.069638,0.003636
0.072039,0.003761
0.074439,0.003886
0.076839,0.004012
0.079239,0.004137
0.081639,0.004263
0.084039,0.004388
0.086439,0.004514
0.088838,0.004639
0.091238,0.004765
0.093638,0.004890
0.096037,0.005016
0.098437,0.005141
0.100836,0.005267
0.103236,0.005393
0.105635,0.005518
0.108034,0.005644
0.110433,0.005769
0.112832,0.005895
0.115232,0.006020
0.117630,0.006146
0.120029,0.006271
0.122428,0.006397
0.124827,0.006523
0.127226,0.006648
0.129624,0.006774
0.132023,0.006899
0.134421,0.007025
0.136820,0.007151
0.139218,0.007276
0.141616,0.007402
0.144014,0.007528
0.146412,0.007653
0.148810,0.007779
0.151208,0.007905
0.153606,0.008030
0.156004,0.008156
0.158402,0.008282
0.160800,0.008407
0.163197,0.008533
0.165595,0.008659
0.167992,0.008784
0.170390,0.008910
0.172787,0.009036
0.175184,0.009161
0.177581,0.009287
0.179979,0.009413
0.182376,0.009539
0.184773,0.009664
0.187170,0.009790
0.189566,0.009916
0.191963,0.010042
0.194360,0.010167
0.196756,0.010293
0.199153,0.010419
0.201550,0.010545
0.203946,0.010671
0.206342,0.010796
0.208739,0.010922
0.211135,0.011048
0.213531,0.011174
0.215927,0.011300
0.218323,0.011425
0.220719,0.011551
0.223115,0.011677
0.225511,0.011803
0.227906,0.011929
0.230302,0.012055
0.232698,0.012181
0.235093,0.012306
0.237489,0.012432
0.239884,0.012558
0.242279,0.012684
0.244675,0.012810
0.247070,0.012936
0.249465,0.013062
0.251860,0.013188
0.254255,0.013314
0.256650,0.013440
0.259045,0.013566
0.261439,0.013691
0.263834,0.013817
0.266229,0.013943
0.268623,0.014069
0.271018,0.014195
0.273412,0.014321
0.275806,0.014447
0.278201,0.014573
0.280595,0.014699
0.282989,0.014825
0.285383,0.014951
0.287777,0.015077
0.290171,0.015203
0.292565,0.015329
0.294959,0.015455
0.297352,0.015581
0.299746,0.015707
0.302140,0.015833
0.304533,0.015959
0.306927,0.016085
0.309320,0.016212
0.311713,0.016338
0.314106,0.016464
0.316500,0.016590
0.318893,0.016716
0.321286,0.016842
0.323679,0.016968
0.326071,0.017094
0.328464,0.017220
0.330857,0.017346
0.333250,0.017472
0.335642,0.017599
0.338035,0.017725
0.340427,0.017851
0.342820,0.017977
0.345212,0.018103
0.347604,0.018229
0.349996,0.018356
0.352388,0.018482
0.354780,0.018608
0.357172,0.018734
0.359564,0.018860
0.361956,0.018986
0.364348,0.019113
0.366740,0.019239
0.369131,0.019365
0.371523,0.019491
0.373914,0.019618
0.376306,0.019744
0.378697,0.019870
0.381088,0.019996
0.383479,0.020122
0.385870,0.020249
0.388262,0.020375
0.390653,0.020501
0.393043,0.020628
0.395434,0.020754
0.397825,0.020880
0.400216,0.021006
0.402606,0.021133
0.404997,0.021259
0.407387,0.021385
0.409778,0.021512
0.412168,0.021638
0.414559,0.021764
0.416949,0.021891
0.419339,0.022017
0.421729,0.022143
0.424119,0.022270
0.426509,0.022396
0.428899,0.022522
0.431289,0.022649
0.433678,0.022775
0.436068,0.022902
0.438458,0.023028
0.440847,0.023154
0.443236,0.023281
0.445626,0.023407
0.448015,0.023534
0.450404,0.023660
0.452794,0.023786
0.455183,0.023913
0.457572,0.024039
0.459961,0.024166
0.462350,0.024292
0.464738,0.024419
0.467127,0.024545
0.469516,0.024672
0.471904,0.024798
0.474293,0.024925
0.476681,0.025051
0.479070,0.025178
0.481458,0.025304
0.483846,0.025431
0.486235,0.025557
0.488623,0.025684
0.491011,0.025810
0.493399,0.025937
0.495787,0.026063
0.498174,0.026190
0.500562,0.026316
0.502950,0.026443
0.505338,0.026569
0.507725,0.026696
0.510113,0.026822
0.512500,0.026949
0.514887,0.027076
0.517275,0.027202
0.519662,0.027329
0.522049,0.027455
0.524436,0.027582
0.526823,0.027709
0.529210,0.027835
0.531597,0.027962
0.533984,0.028089
0.536370,0.028215
0.538757,0.028342
0.541144,0.028468
0.543530,0.028595
0.545917,0.028722
0.548303,0.028848
0.550689,0.028975
0.553076,0.029102
0.555462,0.029229
0.557848,0.029355
0.560234,0.029482
0.562620,0.029609
0.565006,0.029735
0.567391,0.029862
0.569777,0.029989
0.572163,0.030116
0.574548,0.030242
0.576934,0.030369
0.579319,0.030496
0.581705,0.030623
0.584090,0.030749
0.586475,0.030876
0.588861,0.031003
0.591246,0.031130
0.593631,0.031256
0.596016,0.031383
0.598401,0.031510
0.600786,0.031637
0.603170,0.031764
0.605555,0.031890
0.607940,0.032017
0.610324,0.032144
0.612709,0.032271
0.615093,0.032398
0.617477,0.032525
0.619862,0.032651
0.622246,0.032778
0.624630,0.032905
0.627014,0.033032
0.629398,0.033159
0.631782,0.033286
0.634166,0.033413
0.636550,0.033540
0.638933,0.033666
0.641317,0.033793
0.643701,0.033920
0.646084,0.034047
0.648468,0.034174
0.650851,0.034301
0.653234,0.034428
0.655617,0.034555
0.658001,0.034682
0.660384,0.034809
0.662767,0.034936
0.665150,0.035063
0.667533,0.035190
0.669915,0.035317
0.672298,0.035444
0.674681,0.035571
0.677063,0.035698
0.679446,0.035825
0.681828,0.035952
0.684211,0.036079
0.686593,0.036206
0.688975,0.036333
0.691358,0.036460
0.693740,0.036587
0.696122,0.036714
0.698504,0.036841
0.700886,0.036968
0.703267,0.037095
0.705649,0.037222
0.708031,0.037349
0.710412,0.037476
0.712794,0.037603
0.715175,0.037730
0.717557,0.037858
0.719938,0.037985
0.722319,0.038112
0.724701,0.038239
0.727082,0.038366
0.729463,0.038493
0.731844,0.038620
0.734225,0.038747
0.736606,0.038875
0.738986,0.039002
0.741367,0.039129
0.743748,0.039256
0.746128,0.039383
0.748509,0.039510
0.750889,0.039638
0.753270,0.039765
0.755650,0.039892
0.758030,0.040019
0.760410,0.040146
0.762790,0.040274
0.765170,0.040401
0.767550,0.040528
0.769930,0.040655
0.772310,0.040783
0.774690,0.040910
0.777069,0.041037
0.779449,0.041164
0.781829,0.041292
0.784208,0.041419
0.786587,0.041546
0.788967,0.041673
0.791346,0.041801
0.793725,0.041928
0.796104,0.042055
0.798483,0.042183
0.800862,0.042310
0.803241,0.042437
0.805620,0.042565
0.807999,0.042692
0.810377,0.042819
0.812756,0.042947
0.815135,0.043074
0.817513,0.043201
0.819891,0.043329
0.822270,0.043456
0.824648,0.043583
0.827026,0.043711
0.829404,0.043838
0.831782,0.043965
0.834160,0.044093
0.836538,0.044220
0.838916,0.044348
0.841294,0.044475
0.843672,0.044603
0.846049,0.044730
0.848427,0.044857
0.850804,0.044985
0.853182,0.045112
0.855559,0.045240
0.857936,0.045367
0.860314,0.045495
0.862691,0.045622
0.865068,0.045750
0.867445,0.045877
0.869822,0.046005
0.872199,0.046132
0.874576,0.046260
0.876952,0.046387
0.879329,0.046515
0.881705,0.046642
0.884082,0.046770
0.886458,0.046897
0.888835,0.047025
