x,y
0.000000,0.000000
0.119801,0.011346
0.239203,0.022655
0.358208,0.033926
0.476817,0.045160
0.595031,0.056356
0.712852,0.067515
0.830281,0.078637
0.947319,0.089721
1.063967,0.100769
1.180227,0.111780
1.296101,0.122755
1.411588,0.133693
1.526692,0.144594
1.641412,0.155460
1.755751,0.166289
1.869709,0.177082
1.983288,0.187839
2.096489,0.198560
2.209313,0.209246
2.321762,0.219896
2.433837,0.230511
2.545538,0.241090
2.656868,0.251634
2.767828,0.262144
2.878418,0.272618
2.988640,0.283057
3.098495,0.293461
3.207985,0.303831
3.317111,0.314167
3.425873,0.324468
3.534273,0.334734
3.642313,0.344967
3.749993,0.355165
3.857315,0.365330
3.964279,0.375461
4.070888,0.385558
4.177142,0.395621
4.283042,0.405651
4.388590,0.415647
4.493787,0.425611
4.598633,0.435541
4.703131,0.445438
4.807281,0.455302
4.911084,0.465133
5.014542,0.474932
5.117656,0.484698
5.220426,0.494431
5.322855,0.504132
5.424942,0.513801
5.526690,0.523438
5.628099,0.533043
5.729171,0.542615
5.829907,0.552156
5.930307,0.561665
6.030373,0.571142
6.130106,0.580588
6.229507,0.590002
6.328578,0.599385
6.427319,0.608737
6.525731,0.618058
6.623816,0.627348
6.721574,0.636606
6.819007,0.645834
6.916116,0.655032
7.012901,0.664198
7.109365,0.673335
7.205507,0.682440
7.301330,0.691516
7.396833,0.700561
7.492019,0.709576
7.586888,0.718561
7.681442,0.727516
7.775680,0.736442
7.869606,0.745338
7.963218,0.754204
8.056519,0.763040
8.149510,0.771848
8.242191,0.780626
8.334564,0.789374
8.426629,0.798094
8.518388,0.806784
8.609841,0.815446
8.700991,0.824079
8.791836,0.832683
8.882380,0.841258
8.972622,0.849805
9.062564,0.858324
9.152207,0.866814
9.241551,0.875276
9.330598,0.883710
9.419349,0.892115
9.507804,0.900493
9.595965,0.908843
9.683833,0.917165
9.771408,0.925459
9.858692,0.933726
9.945685,0.941965
10.032389,0.950177
10.118804,0.958361
10.204932,0.966519
10.290773,0.974649
10.376329,0.982752
10.461600,0.990828
10.546586,0.998877
10.631291,1.006899
10.715713,1.014895
10.799854,1.022864
10.883716,1.030807
10.967298,1.038723
11.050602,1.046613
11.133629,1.054476
11.216380,1.062314
11.298855,1.070125
11.381056,1.077910
11.462983,1.085670
11.544637,1.093403
11.626020,1.101111
11.707132,1.108793
11.787974,1.116450
11.868547,1.124081
11.948852,1.131687
12.028890,1.139267
12.108661,1.146823
12.188167,1.154353
12.267409,1.161858
12.346386,1.169338
12.425101,1.176793
12.503554,1.184223
12.581746,1.191629
12.659677,1.199010
12.737350,1.206366
12.814763,1.213698
12.891920,1.221006
12.968819,1.228289
13.045462,1.235548
13.121851,1.242783
13.197985,1.249993
13.273866,1.257180
13.349494,1.264343
13.424871,1.271482
13.499997,1.278597
13.574873,1.285689
13.649499,1.292757
13.723878,1.299801
13.798009,1.306822
13.871893,1.313820
13.945531,1.320794
14.018924,1.327745
14.092073,1.334673
14.164979,1.341578
14.237642,1.348460
14.310063,1.355319
14.382243,1.362156
14.454183,1.368969
14.525883,1.375760
14.597345,1.382528
14.668569,1.389274
14.739556,1.395997
14.810307,1.402698
14.880823,1.409377
14.951103,1.416033
15.021150,1.422667
15.090964,1.429279
15.160546,1.435869
15.229895,1.442438
15.299015,1.448984
15.367904,1.455508
15.436564,1.462011
15.504995,1.468492
15.573199,1.474952
15.641175,1.481390
15.708926,1.487807
15.776451,1.494202
15.843751,1.500576
15.910827,1.506929
15.977680,1.513261
16.044311,1.519572
16.110720,1.525861
16.176908,1.532130
16.242876,1.538378
16.308624,1.544605
16.374153,1.550811
16.439464,1.556997
16.504558,1.563162
16.569436,1.569307
