end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
0,1,0,team0,1,0,2.4140628105375868,-15.707963267948966,1.5178125754060054
0,2,1,team1,1,1,2.389777713324993,-1.570796327,1.5168836333984834
0,3,1,team0,2,1,2.4238713194200097,15.707963267948966,1.6273010846710316
0,4,2,team1,2,2,2.392890235944922,-1.570796327,1.518223201971491
0,5,2,team0,3,1,3.996037656204016,0.1,1.5728778622752921
0,6,3,team1,3,2,2.394286496029247,-1.570796327,1.515446122949377
0,7,3,team0,2,1,3.992848106938771,0.1,1.5752906432547362
0,8,4,team1,2,2,2.397246064413919,-1.570796327,1.5170599681916694
0,9,4,team0,2,2,4.017644083578057,0.1,1.5707444008531024
0,10,5,team1,2,3,2.396336949061515,-1.570796327,1.5154999802933093
0,11,5,team0,2,3,4.005031942046113,0.1,1.571638238798704
0,12,6,team1,2,4,2.394646120789587,-1.570796327,1.5176504421483303
0,13,6,team0,2,3,4.010418768669168,0.1,1.5747631712428967
0,14,7,team1,2,4,2.39340020007967,-1.570796327,1.5153675151192747
0,15,7,team0,3,3,3.9964494946227482,-0.1,1.5689301171487986
0,16,8,team1,3,4,2.3964086611560322,-1.570796327,1.5137376486199836
1,1,0,team0,1,0,2.402543490238453,-15.707963267948966,1.5153430345285046
1,2,1,team1,1,1,2.408119735170729,-1.570796327,1.5159482509735716
1,3,1,team0,1,1,3.99412012289953,-0.1,1.5714411394436378
1,4,2,team1,1,2,2.387135114108442,-1.570796327,1.5169902766321375
1,5,2,team0,1,2,4.017523652108121,0.1,1.5729243262106667
1,6,3,team1,1,3,2.3999188882997218,-1.570796327,1.5172666187019581
1,7,3,team0,1,1,4.012453016837222,-0.1,1.5673636658052565
1,8,4,team1,1,2,2.391627648867835,-1.570796327,1.5140656492791766
1,9,4,team0,1,1,3.9971216253428508,0.1,1.575309822027807
1,10,5,team1,1,2,2.4001484403271847,-1.570796327,1.513942940653084
1,11,5,team0,2,1,4.0167017266437774,0.1,1.5784969424696988
1,12,6,team1,2,2,2.3767885683488723,-1.570796327,1.5186198261079893
1,13,6,team0,2,2,3.9946634019513034,0.1,1.5772362407555662
1,14,7,team1,2,3,2.394611998469638,-1.570796327,1.5176768266767369
1,15,7,team0,1,3,4.00236153050887,0.1,1.5758683893714507
1,16,8,team1,1,4,2.4050653166461204,-1.570796327,1.5159361949238082
2,1,0,team0,1,0,2.396787454602255,-15.707963267948966,1.5167427997381768
2,2,1,team1,1,1,2.3898724811023397,-1.570796327,1.515773761746224
2,3,1,team0,2,1,2.397427509941364,15.707963267948966,1.6285308682946433
2,4,2,team1,2,2,2.389194967373201,-1.570796327,1.5154067975104193
2,5,2,team0,3,2,2.398717858136249,15.707963267948966,1.6268722333619492
2,6,3,team1,3,3,2.390252593032344,-1.570796327,1.5164112402814829
2,7,3,team0,4,3,2.3970239685159256,15.707963267948966,1.6266065122290134
2,8,4,team1,4,4,2.402158274161908,-1.570796327,1.5149828176878062
2,9,4,team0,3,3,3.997037477702203,-0.1,1.568667824650712
2,10,5,team1,3,4,2.400977766721491,-1.570796327,1.518691497149991
2,11,5,team0,3,3,4.013602570953316,-0.1,1.565081265977992
2,12,6,team1,3,4,2.393833054661053,-1.570796327,1.5165250307226585
2,13,6,team0,3,4,3.983469655700225,-0.1,1.5654970286077885
2,14,7,team1,3,5,2.4053357341176973,-1.570796327,1.5172805681018244
2,15,7,team0,3,5,3.9943505382985256,-0.1,1.5682684991853326
2,16,8,team1,3,6,2.3813582150972157,-1.570796327,1.5159911376273991
3,1,0,team0,1,0,2.3976595821924613,-15.707963267948966,1.5145909188643323
3,2,1,team1,1,1,2.398272071392465,-1.570796327,1.5151670105370036
3,3,1,team0,2,1,2.399160726123383,15.707963267948966,1.6258347426690745
3,4,2,team1,2,2,2.4013429897465457,-1.570796327,1.5145871744053667
3,5,2,team0,3,2,2.4016545751494487,15.707963267948966,1.6224090466997396
3,6,3,team1,3,3,2.4009992964568463,-1.570796327,1.5179557333254199
3,7,3,team0,4,3,2.3920555451865417,15.707963267948966,1.6285681709269162
3,8,4,team1,4,4,2.4012462728237427,-1.570796327,1.5158916249445027
3,9,4,team0,5,4,2.407598094742164,15.707963267948966,1.625420026014286
3,10,5,team1,5,5,2.4062464712403533,-1.570796327,1.516418367779166
3,11,5,team0,6,5,2.391015060827125,15.707963267948966,1.6239122834178
3,12,6,team1,6,6,2.3962221359755507,-1.570796327,1.5164390069432927
3,13,6,team0,7,6,2.398273498599789,15.707963267948966,1.627183197378972
3,14,7,team1,7,7,2.401583221352838,-1.570796327,1.5187241349245633
3,15,7,team0,8,7,2.4052671094309255,15.707963267948966,1.6269625587976873
3,16,8,team1,8,8,2.3977212949806117,-1.570796327,1.5161941753133337
4,1,0,team1,0,1,2.3924446597952467,-1.570796327,1.5168971743125261
4,2,1,team0,0,1,3.984812496072061,0.1,1.567340618841257
4,3,1,team1,0,2,2.3986675817589687,-1.570796327,1.5157344423685077
4,4,2,team0,0,1,4.000646771375534,0.1,1.5750921849405897
4,5,2,team1,0,2,2.3933126187460987,-1.570796327,1.5167083248562516
4,6,3,team0,0,2,3.9904721324708716,0.1,1.5746026854573822
4,7,3,team1,0,3,2.3869638305031504,-1.570796327,1.5160854721070325
4,8,4,team0,0,3,3.995175702532744,0.1,1.57608617385974
4,9,4,team1,0,4,2.4003090540237255,-1.570796327,1.515311179370141
4,10,5,team0,0,4,4.014267277549824,0.1,1.5716033579355888
4,11,5,team1,0,5,2.390991496228018,-1.570796327,1.5167536367795755
4,12,6,team0,0,3,3.9934782243240288,0.1,1.5707061355407164
4,13,6,team1,0,4,2.3979500234913873,-1.570796327,1.5171593540749955
4,14,7,team0,0,3,3.99709667861076,0.1,1.5730151493795201
4,15,7,team1,0,4,2.3865231249456684,-1.570796327,1.5177403610229214
4,16,8,team0,0,3,4.0030854324732505,-0.1,1.5688529897734296
5,1,0,team0,1,0,2.3917672072045395,-15.707963267948966,1.513290256813022
5,2,1,team1,1,1,2.3805911266973387,-1.570796327,1.5188421169724722
5,3,1,team0,2,1,2.4012822589020146,-15.707963267948966,1.5135795802692107
5,4,2,team1,2,2,2.4026667303506044,-1.570796327,1.5173013351783304
5,5,2,team0,3,2,2.417782835650363,15.707963267948966,1.62604151819284
5,6,3,team1,3,3,2.3916314690976472,-1.570796327,1.5166880904876208
5,7,3,team0,4,3,2.400629722479182,15.707963267948966,1.630531019940519
5,8,4,team1,4,4,2.399332641707336,-1.570796327,1.5157793590053346
