TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=0.18789522349834442, y=38.4291877746582, dist=0.201
End 1: team=team1, x=0.08540672063827515, y=38.37493896484375, dist=0.151
End 2: team=team1, x=0.15451160073280334, y=38.35248565673828, dist=0.214
End 3: team=team0, x=-0.0110912024974823, y=38.55699157714844, dist=0.058
End 4: team=team1, x=-0.41165024042129517, y=38.412776947021484, dist=0.421
End 5: team=team0, x=-0.01741284877061844, y=38.505096435546875, dist=0.018
End 6: team=team1, x=0.011240222491323948, y=38.540496826171875, dist=0.042
End 7: team=team1, x=0.1672169417142868, y=38.47138214111328, dist=0.17
End 8: team=team0, x=-0.2587713301181793, y=38.45880126953125, dist=0.262
End 9: team=team1, x=0.11337389051914215, y=38.265323638916016, dist=0.261
