ts,end,total_shot_number,tv,av,sa_rad,sa_deg,est_distance,final_x_model,final_y_model,dc_x,dc_y,in_house,class,trajectory_file
2026-02-27T10:25:51.142,5,6,2.418168,1.570796,1.572282,90.09,-2.196149,-2.196149,38.856754,38.856754,-2.196149,0,other,trajectories\traj_037.csv
2026-02-27T10:25:51.234,5,8,2.414982,1.570796,1.573189,90.14,-2.223936,-2.223936,38.744176,38.744176,-2.223936,0,other,trajectories\traj_038.csv
2026-02-27T10:25:51.335,5,10,2.421542,1.570796,1.571849,90.06,-2.187134,-2.187134,38.974988,38.974988,-2.187134,0,hit,trajectories\traj_039.csv
2026-02-27T10:25:51.431,5,12,2.424708,1.570796,1.571260,90.03,-2.171430,-2.171430,39.086512,39.086512,-2.171430,0,hit,trajectories\traj_040.csv
2026-02-27T10:25:51.526,5,14,2.417349,1.570796,1.571501,90.04,-2.163941,-2.163941,38.830010,38.830010,-2.163941,0,other,trajectories\traj_041.csv
2026-02-27T10:25:51.759,6,2,2.425629,1.570796,1.568540,89.87,-2.067118,-2.067118,39.124374,39.124374,-2.067118,0,hit,trajectories\traj_042.csv
2026-02-27T10:25:51.848,6,4,2.430278,1.570796,1.571149,90.02,-2.179839,-2.179839,39.281063,39.281063,-2.179839,0,hit,trajectories\traj_043.csv
2026-02-27T10:25:51.941,6,6,2.418218,1.570796,1.570483,89.98,-2.126373,-2.126373,38.862388,38.862388,-2.126373,0,other,trajectories\traj_044.csv
2026-02-27T10:25:52.035,6,8,2.409007,1.570796,1.570617,89.99,-2.110799,-2.110799,38.542774,38.542774,-2.110799,0,other,trajectories\traj_045.csv
2026-02-27T10:25:52.136,6,10,2.418495,1.570796,1.573389,90.15,-2.239951,-2.239951,38.865646,38.865646,-2.239951,0,other,trajectories\traj_046.csv
2026-02-27T10:25:52.232,6,12,2.411116,1.570796,1.572376,90.09,-2.183464,-2.183464,38.611998,38.611998,-2.183464,0,other,trajectories\traj_047.csv
2026-02-27T10:25:52.335,6,14,2.423095,1.570796,1.571014,90.01,-2.158129,-2.158129,39.030862,39.030862,-2.158129,0,hit,trajectories\traj_048.csv
2026-02-27T10:25:52.555,7,2,2.426413,1.570796,1.571360,90.03,-2.179254,-2.179254,39.145727,39.145727,-2.179254,0,hit,trajectories\traj_049.csv
2026-02-27T10:25:52.655,7,4,2.419856,1.570796,1.570371,89.98,-2.125703,-2.125703,38.919532,38.919532,-2.125703,0,other,trajectories\traj_050.csv
2026-02-27T10:25:52.765,7,6,2.418033,1.570796,1.571690,90.05,-2.172846,-2.172846,38.853346,38.853346,-2.172846,0,other,trajectories\traj_051.csv
2026-02-27T10:25:52.900,7,8,2.441265,1.570796,1.570629,89.99,-2.184538,-2.184538,39.666962,39.666962,-2.184538,0,hit,trajectories\traj_052.csv
2026-02-27T10:25:53.032,7,10,2.408881,1.570796,1.573457,90.15,-2.219981,-2.219981,38.532260,38.532260,-2.219981,0,other,trajectories\traj_053.csv
2026-02-27T10:25:53.141,7,12,2.422152,1.570796,1.570033,89.96,-2.117698,-2.117698,39.000148,39.000148,-2.117698,0,hit,trajectories\traj_054.csv
2026-02-27T10:25:53.236,7,14,2.409574,1.570796,1.575806,90.29,-2.312175,-2.312175,38.550921,38.550921,-2.312175,0,other,trajectories\traj_055.csv
2026-02-27T10:25:53.704,8,2,2.412749,1.570796,1.569193,89.91,-2.064160,-2.064160,38.675306,38.675306,-2.064160,0,other,trajectories\traj_056.csv
2026-02-27T10:25:53.795,8,4,2.419106,1.570796,1.570810,90.00,-2.141089,-2.141089,38.892538,38.892538,-2.141089,0,other,trajectories\traj_057.csv
2026-02-27T10:25:53.889,8,6,2.417112,1.570796,1.571461,90.04,-2.161836,-2.161836,38.821886,38.821886,-2.161836,0,other,trajectories\traj_058.csv
2026-02-27T10:25:53.986,8,8,2.423949,1.570796,1.573154,90.14,-2.243637,-2.243637,39.055882,39.055882,-2.243637,0,hit,trajectories\traj_059.csv
2026-02-27T10:25:54.079,8,10,2.418679,1.570796,1.571201,90.02,-2.155332,-2.155332,38.876855,38.876855,-2.155332,0,other,trajectories\traj_060.csv
2026-02-27T10:25:54.178,8,12,2.404009,1.570796,1.571061,90.02,-2.116648,-2.116648,38.369142,38.369142,-2.116648,0,other,trajectories\traj_061.csv
2026-02-27T10:25:54.272,8,14,2.431482,1.570796,1.570644,89.99,-2.162769,-2.162769,39.324244,39.324244,-2.162769,0,hit,trajectories\traj_062.csv
2026-02-27T10:25:54.476,9,2,2.416221,1.570796,1.571273,90.03,-2.152527,-2.152527,38.791336,38.791336,-2.152527,0,other,trajectories\traj_063.csv
2026-02-27T10:25:54.571,9,4,2.405137,1.570796,1.570842,90.00,-2.110770,-2.110770,38.408539,38.408539,-2.110770,0,other,trajectories\traj_064.csv
2026-02-27T10:25:54.664,9,6,2.414479,1.570796,1.566841,89.77,-1.976854,-1.976854,38.740056,38.740056,-1.976854,0,other,trajectories\traj_065.csv
2026-02-27T10:25:54.759,9,8,2.413082,1.570796,1.572466,90.10,-2.191493,-2.191493,38.679889,38.679889,-2.191493,0,other,trajectories\traj_066.csv
2026-02-27T10:25:54.855,9,10,2.424055,1.570796,1.570588,89.99,-2.143685,-2.143685,39.065220,39.065220,-2.143685,0,hit,trajectories\traj_067.csv
2026-02-27T10:25:54.958,9,12,2.403755,1.570796,1.570709,89.99,-2.102556,-2.102556,38.361097,38.361097,-2.102556,0,other,trajectories\traj_068.csv
2026-02-27T10:25:55.053,9,14,2.423032,1.570796,1.572374,90.09,-2.211057,-2.211057,39.025710,39.025710,-2.211057,0,hit,trajectories\traj_069.csv
