TEE (button=(0.0,38.5)) — rebuilt
End 0: team=team1, x=-0.01847350224852562, y=38.09906768798828, dist=0.401
End 1: team=team1, x=-0.0615115724503994, y=38.73789596557617, dist=0.246
End 2: team=team0, x=-0.026134904474020004, y=38.257564544677734, dist=0.244
End 3: team=team0, x=-0.5862984657287598, y=38.327022552490234, dist=0.611
End 4: team=team0, x=0.04990420863032341, y=38.64168930053711, dist=0.15
End 5: team=team1, x=-0.34903034567832947, y=38.630638122558594, dist=0.373
End 6: team=team1, x=0.1099984273314476, y=38.643165588378906, dist=0.181
End 7: team=team1, x=0.059671707451343536, y=38.17680740356445, dist=0.329
End 8: team=team1, x=-0.18537458777427673, y=38.17637252807617, dist=0.373
End 9: team=team1, x=0.019716477021574974, y=38.46628952026367, dist=0.039
