x,y
0.000000,0.000000
0.119874,0.006764
0.239249,0.013500
0.358125,0.020207
0.476501,0.026886
0.594379,0.033538
0.711757,0.040161
0.828636,0.046756
0.945015,0.053322
1.060896,0.059861
1.176277,0.066371
1.291159,0.072853
1.405542,0.079307
1.519425,0.085733
1.632810,0.092131
1.745695,0.098501
1.858081,0.104842
1.969968,0.111155
2.081356,0.117440
2.192244,0.123697
2.302633,0.129926
2.412523,0.136126
2.521914,0.142299
2.630806,0.148443
2.739198,0.154559
2.847091,0.160647
2.954485,0.166706
3.061380,0.172738
3.167775,0.178741
3.273672,0.184716
3.379069,0.190663
3.483967,0.196582
3.588366,0.202473
3.692265,0.208335
3.795666,0.214170
3.898567,0.219976
4.000969,0.225754
4.102871,0.231504
4.204275,0.237225
4.305179,0.242919
4.405584,0.248584
4.505490,0.254221
4.604897,0.259830
4.703804,0.265411
4.802212,0.270964
4.900121,0.276488
4.997531,0.281985
5.094442,0.287453
5.190853,0.292893
5.286766,0.298305
5.382179,0.303688
5.477093,0.309044
5.571507,0.314371
5.665423,0.319670
5.758839,0.324941
5.851756,0.330184
5.944174,0.335399
6.036092,0.340585
6.127511,0.345744
6.218432,0.350874
6.308853,0.355976
6.398774,0.361050
6.488197,0.366095
6.577120,0.371113
6.665544,0.376102
6.753469,0.381063
6.840895,0.385996
6.927822,0.390901
7.014249,0.395778
7.100177,0.400626
7.185606,0.405447
7.270536,0.410239
7.354966,0.415003
7.438897,0.419738
7.522330,0.424446
7.605262,0.429126
7.687696,0.433777
7.769631,0.438400
7.851066,0.442995
7.932002,0.447562
8.012439,0.452100
8.092376,0.456611
8.171815,0.461093
8.250754,0.465547
8.329194,0.469973
8.407135,0.474371
8.484577,0.478741
8.561519,0.483082
8.637962,0.487395
8.713906,0.491681
8.789351,0.495938
8.864296,0.500166
8.938743,0.504367
9.012690,0.508539
9.086138,0.512684
9.159087,0.516800
9.231536,0.520888
9.303487,0.524948
9.374938,0.528979
9.445890,0.532983
9.516342,0.536958
9.586296,0.540905
9.655750,0.544824
9.724705,0.548715
9.793161,0.552577
9.861118,0.556412
9.928576,0.560218
9.995534,0.563996
10.061993,0.567746
10.127953,0.571468
10.193413,0.575161
10.258375,0.578827
10.322837,0.582464
10.386800,0.586073
10.450264,0.589654
10.513229,0.593207
10.575694,0.596732
10.637660,0.600228
10.699127,0.603696
10.760095,0.607136
10.820564,0.610548
10.880533,0.613932
10.940003,0.617288
10.998974,0.620615
11.057446,0.623914
11.115419,0.627185
11.172892,0.630428
11.229866,0.633643
11.286341,0.636830
11.342317,0.639988
11.397794,0.643118
11.452771,0.646221
11.507249,0.649294
11.561228,0.652340
11.614708,0.655358
11.667688,0.658347
11.720170,0.661308
11.772152,0.664242
11.823635,0.667146
11.874618,0.670023
11.925103,0.672872
11.975088,0.675692
12.024574,0.678484
12.073561,0.681248
12.122049,0.683984
12.170037,0.686692
12.217526,0.689372
12.264516,0.692023
12.311007,0.694646
12.356999,0.697241
12.402491,0.699808
12.447485,0.702347
12.491979,0.704858
12.535973,0.707340
12.579469,0.709794
12.622465,0.712220
12.664963,0.714618
12.706961,0.716988
12.748459,0.719330
12.789459,0.721643
12.829959,0.723928
12.869961,0.726185
12.909462,0.728414
12.948465,0.730615
12.986969,0.732787
13.024973,0.734932
13.062478,0.737048
13.099484,0.739136
13.135991,0.741196
13.171998,0.743228
13.207507,0.745231
13.242516,0.747207
13.277026,0.749154
13.311036,0.751073
13.344548,0.752964
13.377560,0.754826
13.410073,0.756661
13.442087,0.758467
13.473602,0.760246
13.504617,0.761996
13.535134,0.763717
13.565151,0.765411
13.594668,0.767077
13.623687,0.768714
13.652207,0.770323
13.680227,0.771904
13.707748,0.773457
13.734770,0.774982
13.761292,0.776478
13.787316,0.777947
13.812840,0.779387
13.837865,0.780799
13.862391,0.782183
13.886417,0.783539
13.909944,0.784866
13.932973,0.786165
13.955502,0.787437
13.977531,0.788680
13.999062,0.789895
14.020093,0.791081
14.040625,0.792240
14.060658,0.793370
14.080192,0.794472
14.099227,0.795546
14.117762,0.796592
14.135798,0.797610
14.153335,0.798599
14.170373,0.799561
14.186911,0.800494
14.202950,0.801399
14.218490,0.802276
14.233531,0.803124
14.248073,0.803945
14.262115,0.804737
14.275659,0.805501
14.288703,0.806237
14.301248,0.806945
14.313293,0.807625
14.324840,0.808276
14.335887,0.808900
14.346435,0.809495
14.356484,0.810062
14.366033,0.810601
14.375084,0.811111
14.383635,0.811594
14.391687,0.812048
14.399240,0.812474
14.406293,0.812872
14.412848,0.813242
14.418903,0.813584
14.424459,0.813897
14.429515,0.814183
14.434073,0.814440
14.438131,0.814669
14.441690,0.814870
14.444750,0.815042
14.447311,0.815187
14.449373,0.815303
14.450935,0.815391
14.451998,0.815451
14.452562,0.815483
14.452627,0.815487
