x,y
0.000000,0.000000
0.120118,0.006516
0.239737,0.013005
0.358856,0.019467
0.477477,0.025901
0.595598,0.032309
0.713219,0.038689
0.830342,0.045043
0.946965,0.051369
1.063089,0.057668
1.178714,0.063940
1.293839,0.070186
1.408465,0.076404
1.522592,0.082594
1.636220,0.088758
1.749348,0.094895
1.861977,0.101005
1.974107,0.107087
2.085737,0.113143
2.196869,0.119171
2.307501,0.125173
2.417633,0.131147
2.527267,0.137094
2.636401,0.143014
2.745036,0.148907
2.853172,0.154773
2.960808,0.160612
3.067945,0.166424
3.174583,0.172208
3.280722,0.177966
3.386361,0.183696
3.491501,0.189400
3.596142,0.195076
3.700283,0.200725
3.803926,0.206348
3.907069,0.211943
4.009712,0.217511
4.111857,0.223052
4.213502,0.228565
4.314648,0.234052
4.415295,0.239512
4.515442,0.244944
4.615090,0.250350
4.714239,0.255728
4.812889,0.261080
4.911039,0.266404
5.008690,0.271701
5.105842,0.276971
5.202495,0.282214
5.298648,0.287430
5.394302,0.292619
5.489457,0.297781
5.584112,0.302915
5.678268,0.308023
5.771925,0.313104
5.865083,0.318157
5.957741,0.323183
6.049901,0.328183
6.141560,0.333155
6.232721,0.338100
6.323382,0.343018
6.413545,0.347909
6.503207,0.352773
6.592371,0.357609
6.681035,0.362419
6.769200,0.367202
6.856866,0.371957
6.944033,0.376686
7.030700,0.381387
7.116868,0.386061
7.202536,0.390708
7.287706,0.395329
7.372376,0.399922
7.456547,0.404487
7.540219,0.409026
7.623391,0.413538
7.706064,0.418023
7.788238,0.422480
7.869912,0.426911
7.951088,0.431314
8.031764,0.435691
8.111941,0.440040
8.191618,0.444362
8.270796,0.448657
8.349475,0.452925
8.427655,0.457166
8.505335,0.461380
8.582517,0.465567
8.659199,0.469726
8.735381,0.473859
8.811065,0.477965
8.886249,0.482043
8.960934,0.486094
9.035119,0.490119
9.108805,0.494116
9.181993,0.498086
9.254680,0.502029
9.326869,0.505945
9.398558,0.509834
9.469748,0.513695
9.540439,0.517530
9.610630,0.521338
9.680322,0.525118
9.749515,0.528872
9.818209,0.532598
9.886403,0.536297
9.954099,0.539970
10.021294,0.543615
10.087991,0.547233
10.154188,0.550824
10.219886,0.554387
10.285085,0.557924
10.349785,0.561434
10.413985,0.564917
10.477686,0.568372
10.540888,0.571800
10.603590,0.575202
10.665793,0.578576
10.727497,0.581923
10.788702,0.585243
10.849407,0.588536
10.909614,0.591802
10.969320,0.595041
11.028528,0.598253
11.087236,0.601438
11.145445,0.604595
11.203155,0.607726
11.260366,0.610829
11.317077,0.613906
11.373289,0.616955
11.429002,0.619977
11.484215,0.622972
11.538929,0.625940
11.593144,0.628881
11.646860,0.631795
11.700077,0.634682
11.752794,0.637541
11.805012,0.640374
11.856730,0.643180
11.907950,0.645958
11.958670,0.648709
12.008890,0.651434
12.058612,0.654131
12.107834,0.656801
12.156557,0.659444
12.204781,0.662060
12.252506,0.664649
12.299731,0.667211
12.346457,0.669745
12.392683,0.672253
12.438411,0.674733
12.483639,0.677187
12.528368,0.679613
12.572597,0.682012
12.616328,0.684385
12.659559,0.686730
12.702291,0.689048
12.744523,0.691339
12.786257,0.693603
12.827491,0.695839
12.868225,0.698049
12.908461,0.700232
12.948197,0.702387
12.987434,0.704516
13.026172,0.706617
13.064410,0.708691
13.102149,0.710739
13.139389,0.712759
13.176130,0.714752
13.212371,0.716718
13.248113,0.718656
13.283356,0.720568
13.318100,0.722453
13.352344,0.724311
13.386089,0.726141
13.419335,0.727945
13.452081,0.729721
13.484329,0.731470
13.516077,0.733192
13.547325,0.734888
13.578075,0.736556
13.608325,0.738197
13.638076,0.739810
13.667328,0.741397
13.696080,0.742957
13.724333,0.744489
13.752087,0.745995
13.779342,0.747473
13.806097,0.748925
13.832353,0.750349
13.858110,0.751746
13.883367,0.753116
13.908125,0.754459
13.932384,0.755775
13.956144,0.757064
13.979405,0.758326
14.002166,0.759561
14.024428,0.760768
14.046190,0.761949
14.067454,0.763102
14.088218,0.764229
14.108483,0.765328
14.128248,0.766400
14.147515,0.767445
14.166282,0.768463
14.184550,0.769454
14.202318,0.770418
14.219587,0.771355
14.236357,0.772265
14.252628,0.773147
14.268400,0.774003
14.283672,0.774831
14.298445,0.775633
14.312718,0.776407
14.326493,0.777154
14.339768,0.777874
14.352544,0.778567
14.364820,0.779233
14.376598,0.779872
14.387876,0.780484
14.398655,0.781069
14.408934,0.781626
14.418714,0.782157
14.427995,0.782660
14.436777,0.783137
14.445060,0.783586
14.452843,0.784008
14.460127,0.784403
14.466911,0.784771
14.473197,0.785112
14.478983,0.785426
14.484270,0.785713
14.489058,0.785973
14.493346,0.786205
14.497135,0.786411
14.500425,0.786589
14.503215,0.786741
14.505507,0.786865
14.507299,0.786962
14.508591,0.787032
14.509385,0.787075
14.509679,0.787091
